item_id,URI
0195153448,
0002005018,http://dbpedia.org/resource/Clara_Callan
0060973129,
0374157065,
0393045218,
0399135782,
0425176428,
0671870432,http://dbpedia.org/resource/Pleading_Guilty
0679425608,
074322678X,
0771074670,http://dbpedia.org/resource/Nights_Below_Station_Street
080652121X,
0887841740,
1552041778,
1558746218,
1567407781,
1575663937,
1881320189,
0440234743,http://dbpedia.org/resource/The_Testament
0452264464,
0609804618,
1841721522,
1879384493,
0061076031,
0439095026,
0689821166,
0971880107,
0345402871,http://dbpedia.org/resource/Airframe_(novel)
0345417623,http://dbpedia.org/resource/Timeline_(novel)
0684823802,http://dbpedia.org/resource/Out_of_the_Silent_Planet
0375759778,
0425163091,
3404921038,
3442353866,
3442410665,
3442446937,
0375406328,
0446310786,http://dbpedia.org/resource/To_Kill_a_Mockingbird
0449005615,http://dbpedia.org/resource/Seabiscuit:_An_American_Legend
0060168013,http://dbpedia.org/resource/Pigs_in_Heaven
038078243X,
055321215X,http://dbpedia.org/resource/Pride_and_Prejudice
067176537X,
0061099686,http://dbpedia.org/resource/Downtown_Owl
0553582909,http://dbpedia.org/resource/Icebound_(novel)
0671888587,
0553582747,http://dbpedia.org/resource/From_the_Corner_of_His_Eye
0425182908,
042518630X,http://dbpedia.org/resource/Purity_in_Death
0440223571,
0812523873,
0842342702,
0440225701,http://dbpedia.org/resource/The_Street_Lawyer
0060914068,
0156047624,http://dbpedia.org/resource/All_the_King's_Men
0245542957,http://dbpedia.org/resource/Pacific_Northwest_Quarterly
0380715899,http://dbpedia.org/resource/A_Soldier_of_the_Great_War
0553280333,
0961769947,
0964778319,
0671623249,http://dbpedia.org/resource/Lonesome_Dove
0679810307,
0679865691,
2070423204,
0345260317,http://dbpedia.org/resource/The_Dragons_of_Eden
0394743741,
042511774X,http://dbpedia.org/resource/Breathing_Lessons
0804106304,http://dbpedia.org/resource/The_Joy_Luck_Club_(novel)
1853262404,
0312970242,
1853260053,
1414035004,
0060938412,
0140067477,http://dbpedia.org/resource/The_Tao_of_Pooh
0345465083,http://dbpedia.org/resource/Seabiscuit:_An_American_Legend
0451625889,http://dbpedia.org/resource/The_Prince
1558531025,
0441783589,http://dbpedia.org/resource/Starship_Troopers
0394895894,
1569871213,
0375410538,
0966986105,
087113375X,
0340767936,http://dbpedia.org/resource/Turning_Thirty
0743403843,http://dbpedia.org/resource/Decipher_(novel)
0060930365,
0060177586,
0071416331,
0375509038,
0553062042,
0316769487,http://dbpedia.org/resource/The_Catcher_in_the_Rye
8445071408,
8445071769,
8445071777,
0679429220,http://dbpedia.org/resource/Midnight_in_the_Garden_of_Good_and_Evil
0671867156,
0312252617,
0312261594,
0316748641,
0316973742,
0385235941,
0446677450,
0451166892,
0553347594,
0671621009,
067976397X,
0684822733,
0786868716,
8472238822,
0671864769,
0671521519,
0440222303,
0312953453,
0446608653,
0446612545,
0446612618,
0451208080,
0553584383,
0671027360,
0812575954,
0316735736,
0743439740,
0345372700,
0380619458,
0446325805,
0451406923,
0671042858,
0743249992,
0840734530,
0425184226,
0375500766,
9724119378,
0451205197,
0060929790,
0060976845,
0061099325,
0671004573,
0446601640,
0330484516,
038572179X,
0393020371,
1900850303,
1903019699,
0345425294,
0451410319,
0553583468,
8420639133,
8476409419,
0380778556,
0451525221,
0002740230,
0385336772,
0440949424,
0505524996,
0140252800,
0451452755,
0812575482,
044651747X,
0060801263,
0061030147,
0140250964,
0446527165,
0671461494,
0385337639,
039575514X,
0451206673,
0330332775,
0486284735,
0671021745,
0671047612,
0671504282,
0399138684,
0785263292,
0830714014,
0345354931,
0553278223,
3150000335,
3257203659,
3257207522,
3257208626,
3257208634,
3257208669,
3257210450,
3257212054,
3257212429,
3257214154,
3257216416,
3257233051,
342311360X,
3423116714,
3423241489,
3426605686,
3453212150,
3462021095,
3492045642,
3498020862,
3499110695,
3499151502,
3518111000,
3548254268,
3570300099,
3596292646,
0060977493,
0312872682,
0316602906,
0316693006,
0345311396,
0345378490,
0345404793,
0345433173,
0375400117,
0375705856,
0380717018,
0380718332,
0380754509,
038076654X,
0380807866,
0385316895,
0385497466,
0385508042,
0385509456,
0385511612,
0385730586,
0425164403,
0440234964,
0446605484,
0446610399,
0449006522,
0449911004,
0451162072,
0451186648,
0452282152,
051513290X,
0553580388,
0590598848,
0590629719,
0671023616,
0671027387,
0684848783,
0743486226,
0786863986,
0803251718,
0804117934,
140003180X,
155874262X,
0060987103,
0151008116,
0375704965,
0525947647,
0804111359,
1558744150,
0435272683,
0316782505,
006102063X,
0060013117,
0060199563,
006052779X,
0060563079,
0060809027,
0061040967,
0061050474,
0061052515,
0061052523,
0064472264,
0140620664,
0312148267,
0312156960,
0312890044,
034543191X,
0373836023,
0375751513,
0375801677,
0375814248,
0375823352,
037582345X,
0375823468,
0380730448,
0380973839,
0385327773,
0394586239,
0439510112,
0440241413,
0451409256,
0451523415,
0451526279,
0451526341,
0486415864,
0553280589,
0571197639,
0670035262,
0679423079,
0679751343,
0684833395,
0743245024,
0749748001,
0749748028,
0963094424,
1401201172,
1563892278,
1563898586,
156971620X,
1592571301,
0374270325,
0375719180,
0440235502,
044023722X,
1573225487,
1853260673,
0060977477,
0345391691,
0520011171,
0553278746,
0670856045,
0872200760,
0937858994,
0671649949,
0590431110,
0064470113,
0553571486,
0972044205,
0312963009,
0345430476,
0345435869,
0380728729,
038081840X,
0449912302,
055329198X,
0671018930,
0812541642,
0312988699,
0486282112,
8483007010,
0670815373,
0385313748,
1575843366,
0684193957,
0345371984,
0380730138,
1573228737,
9681500555,
0380711109,
0452283914,
0425120279,
067153484X,
0380728273,
8433914545,
8484509141,
0446606197,
0771076002,
0771088191,
1559703237,
3596214629,
0062770500,
0671847546,
0060188731,
0140374248,
0142001740,
0195086295,
0312995423,
0380704587,
0380815923,
0385416342,
0385418493,
038542471X,
0425098109,
0449005410,
0449202631,
0449207544,
0515128554,
0517577402,
0590450875,
0590481371,
067103619X,
0684177730,
0684180200,
0743411269,
0743470389,
076218857X,
0767905938,
0800706544,
0801096677,
0849953014,
0891091963,
0915811537,
0927545373,
1575024179,
1880185008,
0140345809,
0156528207,
0380012863,
0451154916,
0785815147,
0875421288,
1567184294,
156718796X,
1862047626,
0020437501,
0198320264,
0373196989,
0373245580,
0451527747,
0671867113,
0812504208,
0060173289,
0060973897,
006101351X,
0140104682,
0312143370,
0316666343,
039456894X,
0440224675,
0449002632,
0449213773,
0452279690,
0553569058,
0679427430,
0679725393,
0802114369,
0803233019,
0819154946,
0897322339,
0940322978,
1573225126,
1579651658,
1878424319,
8401351421,
8423324311,
8427007450,
8429734996,
8429736131,
8440616252,
8472224260,
8472227421,
8474103347,
8475960936,
8477830029,
8478091246,
8478097732,
8478098267,
8478800336,
8478884963,
8483002523,
8486433193,
0600586898,
1853260622,
1857938011,
0060804157,
8466601090,
0140382658,
0152012966,
0312283784,
0345297709,
0345313097,
0345335465,
0345416848,
0385333404,
044021145X,
0449212084,
0553582682,
0590947257,
074345829X,
0786913878,
0801491827,
0816729913,
0843136685,
0866119531,
0866119566,
0870441663,
1561561428,
0553210092,
0553258524,
0688163726,
1569471096,
055358099X,
0316168815,
014023828X,
0316314927,
0345424719,
0375414746,
0375726403,
0385503857,
0425156842,
0440226104,
0452277337,
0553802488,
0671021001,
0767903579,
0805063897,
0679777431,
0553285343,
0486285529,
0671002481,
0812523385,
0895774666,
0020199090,
0385495145,
0679733825,
0842329129,
0345451260,
0740700235,
0380973545,
0393321576,
0743424425,
0786868015,
0446610178,
0684854953,
0743229878,
0380617625,
0380732335,
0385337132,
0440235057,
0445402040,
0618119760,
0871138646,
0026329859,
0060621257,
0060915544,
0060917016,
0060925000,
0060932759,
0061000280,
0192815318,
0312195516,
0380792664,
0393048977,
0399137807,
039914739X,
0451203046,
0451410556,
0451523318,
0486281965,
0486292940,
051762639X,
0684824442,
0743458303,
081296666X,
0819215635,
0880011025,
1561011525,
1877727083,
0486206173,
0312278586,
8845229041,
887641486X,
0140370900,
0674511255,
0030096189,
0312965745,
0345374657,
0395710901,
080521061X,
0823032612,
0679310002,
0312288115,
0316171107,
0380710218,
0515118656,
0553289063,
0671000306,
0671673688,
1561672033,
0425178242,
0618173870,
0156027321,
0375403582,
0385721420,
0451202341,
0743418190,
0385335407,
0965746828,
0060923245,
0486272664,
0786015276,
0060913509,
0553272837,
0440225078,
0312145543,
0425181111,
0380732688,
0140286276,
0373484100,
0449907481,
0553107305,
080213825X,
0515127833,
0345441133,
0515134279,
0945586051,
0385490992,
0385424728,
0312980388,
0590419625,
0385472951,
0451195663,
0425182878,
0553564528,
055356451X,
0743412621,
0849943728,
0849943450,
084994371X,
0590406019,
0020442408,
0553225987,
042517736X,
0671868713,
038549825X,
0553202294,
0345313860,
0345369947,
067170124X,
0345353625,
0308102282,
006017143X,
0805056491,
0679401377,
1562827049,
0385306032,
0816152446,
0821772953,
0345379454,
0553576925,
0743206053,
0688169678,
0439319552,
0590870157,
0307001164,
0440441501,
0590687301,
0439061644,
0439569842,
0307118703,
0590418858,
030720152X,
0816728739,
0865050880,
0812519655,
0812524853,
0449211770,
193072229X,
0812521129,
0345251733,
1400077826,
0312995431,
0312312628,
0446394521,
0590021117,
068484267X,
0553578693,
0380709260,
0807565288,
0312986769,
0345413377,
0345413369,
0679893105,
0061096091,
0345369068,
0451184718,
0449209121,
0060938455,
080411952X,
0060575808,
0060558865,
0767912918,
0553298860,
0385335679,
0440122090,
0671525832,
0553279572,
0061009059,
0060930187,
0516076272,
0679450432,
0821775863,
0821770209,
0670855758,
0553562819,
0446364193,
0446519138,
0425179672,
0061042943,
0399144463,
0965404560,
006015781X,
0060930705,
0312206763,
0316116025,
0156013967,
0385314019,
0743444167,
0618231617,
1567920047,
0811203220,
1573229148,
0787955671,
0425174484,
0385496907,
0446523992,
0140185216,
0684717255,
0486272745,
8807120194,
0062507249,
0684801221,
1576737357,
0060083298,
0446672211,
0140293248,
0807070718,
0743213831,
0345305477,
0061080519,
0142000205,
0316735027,
193156146X,
015600710X,
0062517856,
