item_id::string,URI::string
0,http://dbpedia.org/resource/Avengers:_Age_of_Ultron
1,http://dbpedia.org/resource/Big_Fish_&_Begonia
2,http://dbpedia.org/resource/Captain_America:_Civil_War
3,http://dbpedia.org/resource/CZ12
4,http://dbpedia.org/resource/Chronicles_of_the_Ghostly_Tribe
5,
6,"http://dbpedia.org/resource/Forever_Young,_Forever_Free"
7,http://dbpedia.org/resource/Goodbye_Mr._Loser
8,http://dbpedia.org/resource/Iron_Man_2
9,http://dbpedia.org/resource/Journey_to_the_West:_Conquering_the_Demons
10,http://dbpedia.org/resource/Journey_to_the_West:_The_Demons_Strike_Back
11,http://dbpedia.org/resource/Uncovered_(film)
12,http://dbpedia.org/resource/Lost_in_Thailand
13,
14,http://dbpedia.org/resource/Operation_Mekong
15,http://dbpedia.org/resource/Soulmate_(2013_film)
16,http://dbpedia.org/resource/The_Elusive_Avengers
17,http://dbpedia.org/resource/The_Continent_(film)
18,http://dbpedia.org/resource/The_Ghouls
19,http://dbpedia.org/resource/The_Great_Wall_(film)
20,http://dbpedia.org/resource/The_Left_Ear
21,http://dbpedia.org/resource/The_Mermaid_Chair_(film)
22,http://dbpedia.org/resource/Tiny_Times
23,
24,http://dbpedia.org/resource/Train_to_Busan
25,http://dbpedia.org/resource/Transformers:_Age_of_Extinction
26,http://dbpedia.org/resource/Your_Name_Is_Justine
27,http://dbpedia.org/resource/Zootopia
