item_id::string,abstract::string,producer::string_list,distributor::string_list,writer::string_list,cinematography::string_list,subject::string_list,starring::string_list,director::string_list
1,"Toy Story is a 1995 American computer-animated buddy comedy adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. The directorial debut of John Lasseter, Toy Story was the first feature-length computer-animated film and the first theatrical film produced by Pixar. Taking place in a world where anthropomorphic toys pretend to be lifeless whenever humans are present, the film's plot focuses on the relationship between Woody, a pullstring cowboy doll (voiced by Tom Hanks), and Buzz Lightyear, an astronaut action figure (voiced by Tim Allen), as they evolve from rivals competing for the affections of Andy, their owner, to friends who work together to be reunited with Andy as his family prepares to move to a new home. The screenplay was written by Joss Whedon, Andrew Stanton, Joel Cohen, and Alec Sokolow, based on a story by Lasseter, Pete Docter, Stanton and Joe Ranft. The film features music by Randy Newman, and its executive producers were Steve Jobs and Edwin Catmull. Pixar, which produced short animated films to promote their computers, was approached by Disney to produce a computer-animated feature after the success of their short film, Tin Toy (1988), which is told from a small toy's perspective. Lasseter, Stanton, and Docter wrote early story treatments which were thrown out by Disney, who pushed for a more edgy film. After disastrous story reels, production was halted and the script was re-written, better reflecting the tone and theme Pixar desired: that ""toys deeply want children to play with them, and that this desire drives their hopes, fears, and actions."" The studio, then consisting of a relatively small number of employees, produced the film under minor financial constraints. Released in theaters on November 22, 1995, Toy Story was the highest-grossing film on its opening weekend and earned over $373 million worldwide. The film was widely acclaimed by critics, who praised the animation's technical innovation, the wit and thematic sophistication of the screenplay, and the performances of Hanks and Allen. It is now considered by many critics to be one of the best animated films ever made. The film received three Academy Award nominations, including Best Original Screenplay, Best Original Score, and Best Original Song for ""You've Got a Friend in Me"", as well as winning a Special Achievement Academy Award. It was inducted into the National Film Registry as being ""culturally, historically, or aesthetically significant"" in 2005, its first year of eligibility. In addition to home media releases and theatrical re-releases, Toy Story-inspired material has run the gamut from toys, video games, theme park attractions, spin-offs, merchandise, and two sequels—Toy Story 2 (1999) and Toy Story 3 (2010)—both of which also garnered massive commercial success and critical acclaim, with a third sequel, Toy Story 4, slated for a 2018 release.",,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,,,http://dbpedia.org/resource/Category:1990s_American_animated_films::http://dbpedia.org/resource/Category:1990s_comedy_films::http://dbpedia.org/resource/Category:1990s_computer-animated_films::http://dbpedia.org/resource/Category:1990s_fantasy_films::http://dbpedia.org/resource/Category:1995_animated_films::http://dbpedia.org/resource/Category:1995_films::http://dbpedia.org/resource/Category:3D_re-releases::http://dbpedia.org/resource/Category:American_3D_films::http://dbpedia.org/resource/Category:American_animated_films::http://dbpedia.org/resource/Category:American_children's_fantasy_films::http://dbpedia.org/resource/Category:American_comedy_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:Animated_comedy_films::http://dbpedia.org/resource/Category:Animated_duos::http://dbpedia.org/resource/Category:Animated_fantasy_films::http://dbpedia.org/resource/Category:Animated_films_on_the_National_Film_Registry::http://dbpedia.org/resource/Category:Best_Animated_Feature_Annie_Award_winners::http://dbpedia.org/resource/Category:Buddy_films::http://dbpedia.org/resource/Category:Computer-animated_films::http://dbpedia.org/resource/Category:Directorial_debut_films::http://dbpedia.org/resource/Category:Film_scores_by_Randy_Newman::http://dbpedia.org/resource/Category:Films_about_toys::http://dbpedia.org/resource/Category:Films_adapted_into_television_programs::http://dbpedia.org/resource/Category:Films_adapted_into_video_games::http://dbpedia.org/resource/Category:Films_directed_by_John_Lasseter::http://dbpedia.org/resource/Category:Films_featuring_anthropomorphic_characters::http://dbpedia.org/resource/Category:Films_produced_by_Bonnie_Arnold::http://dbpedia.org/resource/Category:Films_using_computer-generated_imagery::http://dbpedia.org/resource/Category:Pixar_animated_films::http://dbpedia.org/resource/Category:Screenplays_by_Alec_Sokolow::http://dbpedia.org/resource/Category:Screenplays_by_Andrew_Stanton::http://dbpedia.org/resource/Category:Screenplays_by_Joe_Ranft::http://dbpedia.org/resource/Category:Screenplays_by_Joel_Cohen::http://dbpedia.org/resource/Category:Screenplays_by_John_Lasseter::http://dbpedia.org/resource/Category:Screenplays_by_Joss_Whedon::http://dbpedia.org/resource/Category:Screenplays_by_Pete_Docter::http://dbpedia.org/resource/Category:Toy_Story::http://dbpedia.org/resource/Category:United_States_National_Film_Registry_films::http://dbpedia.org/resource/Category:Walt_Disney_Pictures_films,,http://dbpedia.org/resource/John_Lasseter
10,"Richard III is a 1995 British drama film adapted from William Shakespeare's play of the same name, starring Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Nigel Hawthorne, Kristin Scott Thomas, Maggie Smith, John Wood, and Dominic West. The film sets the play in a thinly-fictional fascist version of 1930s Britain.",http://dbpedia.org/resource/Lisa_Katselas_Paré::http://dbpedia.org/resource/Stephen_Bayly,http://dbpedia.org/resource/United_Artists,http://dbpedia.org/resource/Ian_McKellen::http://dbpedia.org/resource/Richard_Loncraine::http://dbpedia.org/resource/William_Shakespeare,http://dbpedia.org/resource/Peter_Biziou,http://dbpedia.org/resource/Category:1995_films::http://dbpedia.org/resource/Category:British_alternate_history_films::http://dbpedia.org/resource/Category:British_drama_films::http://dbpedia.org/resource/Category:British_films::http://dbpedia.org/resource/Category:Dystopian_films::http://dbpedia.org/resource/Category:English-language_films::http://dbpedia.org/resource/Category:Films_based_on_Richard_III_(play)::http://dbpedia.org/resource/Category:Films_directed_by_Richard_Loncraine::http://dbpedia.org/resource/Category:Films_set_in_the_1930s::http://dbpedia.org/resource/Category:Modern_adaptations_of_works_by_William_Shakespeare::http://dbpedia.org/resource/Category:Pathé_films::http://dbpedia.org/resource/Category:United_Artists_films,http://dbpedia.org/resource/Annette_Bening::http://dbpedia.org/resource/Jim_Broadbent::http://dbpedia.org/resource/John_Wood_(English_actor)::http://dbpedia.org/resource/Kristin_Scott_Thomas::http://dbpedia.org/resource/Maggie_Smith::http://dbpedia.org/resource/Nigel_Hawthorne::http://dbpedia.org/resource/Robert_Downey_Jr.,http://dbpedia.org/resource/Richard_Loncraine
15,"Mr. Holland's Opus is a 1995 American drama film directed by Stephen Herek, produced by Ted Field, Robert W. Cort, and Michael Nolin, and written by Patrick Sheane Duncan. The film stars Richard Dreyfuss in the title role of Glenn Holland, a high school music teacher who aspires to compose one great piece of music. The cast also includes Glenne Headly, Olympia Dukakis, William H. Macy and Jay Thomas. The film was nominated for the Golden Globe Award for Best Screenplay. Richard Dreyfuss also received nominations for the Golden Globe Award for Best Actor – Motion Picture Drama and the Academy Award for Best Actor for his performance in the film.",http://dbpedia.org/resource/Michael_Nolin::http://dbpedia.org/resource/Patrick_Sheane_Duncan::http://dbpedia.org/resource/Robert_W._Cort::http://dbpedia.org/resource/Ted_Field,http://dbpedia.org/resource/Metro-Goldwyn-Mayer::http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,http://dbpedia.org/resource/Patrick_Sheane_Duncan,http://dbpedia.org/resource/Oliver_Wood_(cinematographer),"http://dbpedia.org/resource/Category:1990s_drama_films::http://dbpedia.org/resource/Category:1995_films::http://dbpedia.org/resource/Category:American_Sign_Language_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:American_musical_drama_films::http://dbpedia.org/resource/Category:English-language_films::http://dbpedia.org/resource/Category:Film_scores_by_Michael_Kamen::http://dbpedia.org/resource/Category:Films_about_classical_music_and_musicians::http://dbpedia.org/resource/Category:Films_about_composers::http://dbpedia.org/resource/Category:Films_about_deaf_people::http://dbpedia.org/resource/Category:Films_about_educators::http://dbpedia.org/resource/Category:Films_directed_by_Stephen_Herek::http://dbpedia.org/resource/Category:Films_set_in_Portland,_Oregon::http://dbpedia.org/resource/Category:Films_set_in_schools::http://dbpedia.org/resource/Category:Films_set_in_the_1960s::http://dbpedia.org/resource/Category:Films_set_in_the_1970s::http://dbpedia.org/resource/Category:Films_set_in_the_1980s::http://dbpedia.org/resource/Category:Films_set_in_the_1990s::http://dbpedia.org/resource/Category:Films_shot_in_Oregon::http://dbpedia.org/resource/Category:Hollywood_Pictures_films::http://dbpedia.org/resource/Category:Interscope_Communications_films::http://dbpedia.org/resource/Category:PolyGram_Filmed_Entertainment_films",http://dbpedia.org/resource/Glenne_Headly::http://dbpedia.org/resource/Jay_Thomas::http://dbpedia.org/resource/Olympia_Dukakis::http://dbpedia.org/resource/Richard_Dreyfuss,http://dbpedia.org/resource/Stephen_Herek
23,"Taxi Driver is a 1976 American vigilante film with neo-noir and psychological thriller elements, directed by Martin Scorsese and written by Paul Schrader. Set in New York City following the Vietnam War, the film stars Robert De Niro, and features Jodie Foster, Harvey Keitel, Cybill Shepherd, Peter Boyle, and Albert Brooks. The film is regularly cited by critics, film directors, and audiences alike as one of the greatest films of all time. Nominated for four Academy Awards, including Best Picture, it won the Palme d'Or at the 1976 Cannes Film Festival. The American Film Institute ranked Taxi Driver as the 52nd-greatest American film on its AFI's 100 Years...100 Movies (10th Anniversary Edition) list. The film also ranks #17 on Empire magazine's 2008 list of the 500 greatest movies of all time. In 2012, Sight & Sound named it the 31st-best film ever in its decennial critics' poll, ranked with The Godfather Part II, and the fifth-greatest film of all time on its directors' poll. The film was considered ""culturally, historically or aesthetically"" significant by the US Library of Congress and was selected for preservation in the National Film Registry in 1994.",,http://dbpedia.org/resource/Columbia_Pictures,http://dbpedia.org/resource/Paul_Schrader,http://dbpedia.org/resource/Michael_Chapman_(cinematographer),http://dbpedia.org/resource/Category:1970s_crime_drama_films::http://dbpedia.org/resource/Category:1970s_thriller_films::http://dbpedia.org/resource/Category:1976_films::http://dbpedia.org/resource/Category:1998_soundtracks::http://dbpedia.org/resource/Category:American_crime_drama_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:American_thriller_films::http://dbpedia.org/resource/Category:Arista_Records_soundtracks::http://dbpedia.org/resource/Category:Attempted_assassination_of_Ronald_Reagan::http://dbpedia.org/resource/Category:BAFTA_winners_(films)::http://dbpedia.org/resource/Category:Bernard_Herrmann_albums::http://dbpedia.org/resource/Category:Columbia_Pictures_films::http://dbpedia.org/resource/Category:English-language_films::http://dbpedia.org/resource/Category:Film_scores_by_Bernard_Herrmann::http://dbpedia.org/resource/Category:Film_soundtracks::http://dbpedia.org/resource/Category:Films_about_child_prostitution::http://dbpedia.org/resource/Category:Films_about_taxicabs::http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese::http://dbpedia.org/resource/Category:Films_produced_by_Julia_Phillips::http://dbpedia.org/resource/Category:Films_produced_by_Michael_Phillips_(producer)::http://dbpedia.org/resource/Category:Films_set_in_New_York_City::http://dbpedia.org/resource/Category:Films_shot_in_New_York_City::http://dbpedia.org/resource/Category:Neo-noir::http://dbpedia.org/resource/Category:Palme_d'Or_winners::http://dbpedia.org/resource/Category:Psychological_thriller_films::http://dbpedia.org/resource/Category:Screenplays_by_Paul_Schrader::http://dbpedia.org/resource/Category:United_States_National_Film_Registry_films::http://dbpedia.org/resource/Category:Vigilante_films,,http://dbpedia.org/resource/Martin_Scorsese
26,"The Brothers McMullen is a 1995 American comedy-drama film written, directed, produced by, and starring Edward Burns. It deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s.",http://dbpedia.org/resource/Edward_Burns,http://dbpedia.org/resource/20th_Century_Fox,http://dbpedia.org/resource/Edward_Burns,,http://dbpedia.org/resource/Category:1990s_comedy-drama_films::http://dbpedia.org/resource/Category:1990s_romantic_comedy_films::http://dbpedia.org/resource/Category:1990s_romantic_drama_films::http://dbpedia.org/resource/Category:1995_films::http://dbpedia.org/resource/Category:American_comedy-drama_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:American_independent_films::http://dbpedia.org/resource/Category:American_romantic_comedy_films::http://dbpedia.org/resource/Category:American_romantic_drama_films::http://dbpedia.org/resource/Category:Directorial_debut_films::http://dbpedia.org/resource/Category:English-language_films::http://dbpedia.org/resource/Category:Films_directed_by_Edward_Burns::http://dbpedia.org/resource/Category:Films_set_in_New_York::http://dbpedia.org/resource/Category:Films_shot_in_New_York::http://dbpedia.org/resource/Category:Fox_Searchlight_Pictures_films::http://dbpedia.org/resource/Category:Irish-American_media::http://dbpedia.org/resource/Category:Sundance_Film_Festival_award_winners,http://dbpedia.org/resource/Connie_Britton::http://dbpedia.org/resource/Jack_Mulcahy_(actor)::http://dbpedia.org/resource/Jennifer_Jostyn::http://dbpedia.org/resource/Maxine_Bahns::http://dbpedia.org/resource/Mike_McGlone,http://dbpedia.org/resource/Edward_Burns
36,Mad Love is a 1995 teen romantic drama film directed by Antonia Bird and starring Drew Barrymore and Chris O'Donnell. The screenplay was written by Paula Milne. The original music score is composed by Andy Roberts.,http://dbpedia.org/resource/David_Manson_(producer)::http://dbpedia.org/resource/Steve_Golin,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,http://dbpedia.org/resource/Paula_Milne,,http://dbpedia.org/resource/Category:1990s_road_movies::http://dbpedia.org/resource/Category:1990s_romantic_drama_films::http://dbpedia.org/resource/Category:1990s_teen_drama_films::http://dbpedia.org/resource/Category:1990s_teen_romance_films::http://dbpedia.org/resource/Category:1995_films::http://dbpedia.org/resource/Category:American_coming-of-age_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:American_road_movies::http://dbpedia.org/resource/Category:American_romantic_drama_films::http://dbpedia.org/resource/Category:American_teen_romance_films::http://dbpedia.org/resource/Category:Borderline_personality_disorder_in_fiction::http://dbpedia.org/resource/Category:English-language_films::http://dbpedia.org/resource/Category:Films_about_psychiatry::http://dbpedia.org/resource/Category:Films_directed_by_Antonia_Bird::http://dbpedia.org/resource/Category:Films_produced_by_Steve_Golin::http://dbpedia.org/resource/Category:Films_set_in_Seattle::http://dbpedia.org/resource/Category:Films_set_in_Washington_(state)::http://dbpedia.org/resource/Category:Films_shot_in_New_Mexico::http://dbpedia.org/resource/Category:Touchstone_Pictures_films,http://dbpedia.org/resource/Chris_O'Donnell::http://dbpedia.org/resource/Drew_Barrymore::http://dbpedia.org/resource/Joan_Allen,http://dbpedia.org/resource/Antonia_Bird
47,"Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood. The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau. Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, Lisa Marie, and Bill Murray are among the supporting cast. The film was conceived by writers Scott Alexander and Larry Karaszewski when they were students at the USC School of Cinematic Arts. Irritated at being thought of solely as writers for family films with their work on Problem Child and its sequel, Alexander and Karaszewski struck a deal with Burton and Denise Di Novi to produce the Ed Wood biopic, and Michael Lehmann as director. Due to scheduling conflicts with Airheads, Lehmann had to vacate the director's position, which was taken over by Burton. Ed Wood was originally in development at Columbia Pictures, but the studio put the film in ""turnaround"" over Burton's decision to shoot in black-and-white. Ed Wood was taken to the Walt Disney Studios, which produced the film through the studio's Touchstone Pictures division. The film was released to critical acclaim, but was a box office bomb, making only $5.9 million against an $18 million budget. It won two Academy Awards: Best Supporting Actor for Landau and Best Makeup for Rick Baker (who designed Landau's prosthetic makeup), Ve Neill and Yolanda Toussieng.",http://dbpedia.org/resource/Denise_Di_Novi,http://dbpedia.org/resource/Buena_Vista_Pictures_Distribution,http://dbpedia.org/resource/Scott_Alexander_and_Larry_Karaszewski,http://dbpedia.org/resource/Stefan_Czapsky,http://dbpedia.org/resource/Category:1990s_LGBT-related_films::http://dbpedia.org/resource/Category:1990s_biographical_films::http://dbpedia.org/resource/Category:1990s_comedy-drama_films::http://dbpedia.org/resource/Category:1994_films::http://dbpedia.org/resource/Category:American_LGBT-related_films::http://dbpedia.org/resource/Category:American_biographical_films::http://dbpedia.org/resource/Category:American_black-and-white_films::http://dbpedia.org/resource/Category:American_comedy-drama_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:Biographical_films_about_actors::http://dbpedia.org/resource/Category:Comedy_films_based_on_actual_events::http://dbpedia.org/resource/Category:Cross-dressing_in_film::http://dbpedia.org/resource/Category:Ed_Wood::http://dbpedia.org/resource/Category:Film_scores_by_Howard_Shore::http://dbpedia.org/resource/Category:Films_about_film_directors_and_producers::http://dbpedia.org/resource/Category:Films_about_filmmaking::http://dbpedia.org/resource/Category:Films_directed_by_Tim_Burton::http://dbpedia.org/resource/Category:Films_featuring_a_Best_Supporting_Actor_Academy_Award-winning_performance::http://dbpedia.org/resource/Category:Films_produced_by_Denise_Di_Novi::http://dbpedia.org/resource/Category:Films_set_in_1952::http://dbpedia.org/resource/Category:Films_set_in_1956::http://dbpedia.org/resource/Category:Films_set_in_Los_Angeles::http://dbpedia.org/resource/Category:Films_set_in_the_1950s::http://dbpedia.org/resource/Category:Films_that_won_the_Academy_Award_for_Best_Makeup::http://dbpedia.org/resource/Category:Screenplays_by_Scott_Alexander_and_Larry_Karaszewski::http://dbpedia.org/resource/Category:Touchstone_Pictures_films,http://dbpedia.org/resource/Bill_Murray::http://dbpedia.org/resource/Jeffrey_Jones::http://dbpedia.org/resource/Johnny_Depp::http://dbpedia.org/resource/Martin_Landau::http://dbpedia.org/resource/Patricia_Arquette::http://dbpedia.org/resource/Sarah_Jessica_Parker,http://dbpedia.org/resource/Tim_Burton
57,Priest is a 1994 British drama film marking the debut of director Antonia Bird. The screenplay by Jimmy McGovern focuses on a Roman Catholic priest as he struggles with two issues that precipitate a crisis of faith.,http://dbpedia.org/resource/George_S._J._Faber,http://dbpedia.org/resource/Alliance_Communications::http://dbpedia.org/resource/Miramax_Films,http://dbpedia.org/resource/Jimmy_McGovern,,http://dbpedia.org/resource/Category:1990s_LGBT-related_films::http://dbpedia.org/resource/Category:1990s_drama_films::http://dbpedia.org/resource/Category:1994_films::http://dbpedia.org/resource/Category:BBC_Films_films::http://dbpedia.org/resource/Category:British_LGBT-related_films::http://dbpedia.org/resource/Category:British_drama_films::http://dbpedia.org/resource/Category:British_films::http://dbpedia.org/resource/Category:Films_about_Catholic_priests::http://dbpedia.org/resource/Category:Films_critical_of_Roman_Catholicism_and_Catholics::http://dbpedia.org/resource/Category:Films_directed_by_Antonia_Bird::http://dbpedia.org/resource/Category:Films_shot_in_England::http://dbpedia.org/resource/Category:Incest_in_film::http://dbpedia.org/resource/Category:LGBT-related_drama_films::http://dbpedia.org/resource/Category:LGBT-related_films_about_Christianity::http://dbpedia.org/resource/Category:LGBT_culture_in_Liverpool::http://dbpedia.org/resource/Category:Miramax_films,http://dbpedia.org/resource/Cathy_Tyson::http://dbpedia.org/resource/Linus_Roache::http://dbpedia.org/resource/Robert_Carlyle::http://dbpedia.org/resource/Tom_Wilkinson_(actor),http://dbpedia.org/resource/Antonia_Bird
63,"The Santa Clause is a 1994 American Christmas fantasy family comedy film directed by John Pasquin. It is the first installment in The Santa Clause trilogy and it stars Tim Allen as Scott Calvin, an ordinary man who accidentally causes Santa Claus to fall from his roof on Christmas Eve. When he and his young son, Charlie, finish St. Nick's trip and deliveries, they go to the North Pole where Scott learns that he must become the new Santa and convince those he loves that he is indeed Father Christmas. This was Pasquin and Allen's first movie collaboration after they both worked together on the TV series Home Improvement. Pasquin and Allen would later work again on the films Jungle 2 Jungle and Joe Somebody, and on the TV show Last Man Standing. The film was followed by two sequels, The Santa Clause 2 (2002) and The Santa Clause 3: The Escape Clause (2006). In comparison to the original, the former received mixed critical response while the latter was panned by most critics.",http://dbpedia.org/resource/Brian_Reilly::http://dbpedia.org/resource/Robert_Newmyer,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,http://dbpedia.org/resource/Karey_Kirkpatrick::http://dbpedia.org/resource/Leo_Benvenuti_and_Steve_Rudnick,,http://dbpedia.org/resource/Category:1990s_comedy_films::http://dbpedia.org/resource/Category:1990s_fantasy_films::http://dbpedia.org/resource/Category:1994_films::http://dbpedia.org/resource/Category:American_Christmas_films::http://dbpedia.org/resource/Category:American_fantasy-comedy_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:Directorial_debut_films::http://dbpedia.org/resource/Category:English-language_films::http://dbpedia.org/resource/Category:Films_directed_by_John_Pasquin::http://dbpedia.org/resource/Category:Films_set_in_Chicago::http://dbpedia.org/resource/Category:Films_shot_in_Toronto::http://dbpedia.org/resource/Category:Santa_Claus_in_film::http://dbpedia.org/resource/Category:Walt_Disney_Pictures_films,http://dbpedia.org/resource/David_Krumholtz::http://dbpedia.org/resource/Judge_Reinhold::http://dbpedia.org/resource/Peter_Boyle::http://dbpedia.org/resource/Tim_Allen::http://dbpedia.org/resource/Wendy_Crewson,http://dbpedia.org/resource/John_Pasquin
71,"The Lion King is a 1994 American animated epic musical film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. It is the 32nd Disney animated feature film. The story takes place in a kingdom of lions in Africa, and was influenced by William Shakespeare's Hamlet. The film was produced during a period known as the Disney Renaissance. The Lion King was directed by Roger Allers and Rob Minkoff, produced by Don Hahn, and has a screenplay credited to Irene Mecchi, Jonathan Roberts and Linda Woolverton. Its original songs were written by composer Elton John and lyricist Tim Rice, and original scores were written by Hans Zimmer. The film features an ensemble voice cast that includes Matthew Broderick, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Moira Kelly, Nathan Lane, Ernie Sabella, Rowan Atkinson, Robert Guillaume, Madge Sinclair, Whoopi Goldberg, Cheech Marin, and Jim Cummings. The Lion King tells the story of Simba, a young lion who is to succeed his father, Mufasa, as King of the Pride Lands; however, after Simba's uncle Scar murders Mufasa, Simba is manipulated into thinking he was responsible, and flees into exile. Upon maturation living with two wastrels, Simba is given some valuable perspective from his childhood friend, Nala, and his shaman, Rafiki, before returning to challenge Scar to end his tyranny and take his place in the Circle of Life as the rightful King. Development of The Lion King began in 1988 during a meeting between Jeffrey Katzenberg, Roy E. Disney and Peter Schneider while promoting Oliver & Company in Europe. Thomas Disch wrote a film treatment, and Woolverton developed the first scripts while George Scribner was signed on as director, being later joined by Allers. Production began in 1991 concurrently with Pocahontas, which wound up attracting most of Disney's top animators. Some time after the staff traveled to Hell's Gate National Park in Kenya to research on the film's setting and animals, Scribner left production disagreeing with the decision to turn the film into a musical, and was replaced by Minkoff. When Hahn joined the project, he was dissatisfied with the script and the story was promptly rewritten. Nearly 20 minutes of animation sequences were produced at Disney-MGM Studios in Florida. Computer animation was also used in several scenes, most notably in the wildebeest stampede sequence. The Lion King was released on June 15, 1994, to a positive reaction from critics, who praised the film for its music, story and animation; it finished its theatrical run as the highest-grossing release of 1994 and the second highest-grossing film of all time. The Lion King garnered two Academy Awards for its achievement in music and the Golden Globe Award for Best Motion Picture – Musical or Comedy. The film has led to many derived works, such as a Broadway adaptation; two direct-to-video follow-ups—the sequel The Lion King II: Simba's Pride (1998) and the prequel/parallel The Lion King 1½ (2004)—two television series, Timon and Pumbaa and The Lion Guard, and a 3D re-release in 2011.",http://dbpedia.org/resource/Don_Hahn,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,http://dbpedia.org/resource/Irene_Mecchi::http://dbpedia.org/resource/Jonathan_Roberts_(writer)::http://dbpedia.org/resource/Linda_Woolverton,,http://dbpedia.org/resource/Category:1990s_American_animated_films::http://dbpedia.org/resource/Category:1990s_adventure_films::http://dbpedia.org/resource/Category:1990s_musical_films::http://dbpedia.org/resource/Category:1994_animated_films::http://dbpedia.org/resource/Category:1994_films::http://dbpedia.org/resource/Category:3D_re-releases::http://dbpedia.org/resource/Category:American_animated_films::http://dbpedia.org/resource/Category:American_epic_films::http://dbpedia.org/resource/Category:American_films::http://dbpedia.org/resource/Category:American_musical_films::http://dbpedia.org/resource/Category:Animated_musical_films::http://dbpedia.org/resource/Category:Avunculicide_in_fiction::http://dbpedia.org/resource/Category:Best_Animated_Feature_Annie_Award_winners::http://dbpedia.org/resource/Category:Best_Musical_or_Comedy_Picture_Golden_Globe_winners::http://dbpedia.org/resource/Category:Directorial_debut_films::http://dbpedia.org/resource/Category:Disney_Renaissance::http://dbpedia.org/resource/Category:Film_scores_by_Hans_Zimmer::http://dbpedia.org/resource/Category:Films_about_animals::http://dbpedia.org/resource/Category:Films_about_lions::http://dbpedia.org/resource/Category:Films_about_royalty::http://dbpedia.org/resource/Category:Films_directed_by_Rob_Minkoff::http://dbpedia.org/resource/Category:Films_directed_by_Roger_Allers::http://dbpedia.org/resource/Category:Films_featuring_anthropomorphic_characters::http://dbpedia.org/resource/Category:Films_produced_by_Don_Hahn::http://dbpedia.org/resource/Category:Films_set_in_Africa::http://dbpedia.org/resource/Category:Films_that_won_the_Best_Original_Score_Academy_Award::http://dbpedia.org/resource/Category:Films_that_won_the_Best_Original_Song_Academy_Award::http://dbpedia.org/resource/Category:Fratricide_in_fiction::http://dbpedia.org/resource/Category:Hyenas_in_popular_culture::http://dbpedia.org/resource/Category:Regicide_in_fiction::http://dbpedia.org/resource/Category:Screenplays_by_Joe_Ranft::http://dbpedia.org/resource/Category:Screenplays_by_Linda_Woolverton::http://dbpedia.org/resource/Category:The_Lion_King::http://dbpedia.org/resource/Category:Walt_Disney_Animation_Studios_films::http://dbpedia.org/resource/Category:Walt_Disney_Pictures_films,,http://dbpedia.org/resource/Rob_Minkoff::http://dbpedia.org/resource/Roger_Allers
