item_id::string,URI::string
1,http://dbpedia.org/resource/Toy_Story
2,http://dbpedia.org/resource/GoldenEye
3,http://dbpedia.org/resource/Four_Rooms
4,http://dbpedia.org/resource/Get_Shorty_(film)
5,http://dbpedia.org/resource/Copycat_(film)
6,http://dbpedia.org/resource/Shanghai_Triad
7,http://dbpedia.org/resource/12_Monkeys
8,http://dbpedia.org/resource/Babe_(film)
9,http://dbpedia.org/resource/Dead_Man_Walking_(film)
10,http://dbpedia.org/resource/Richard_III_(1995_film)
11,http://dbpedia.org/resource/Seven_(1995_film)
12,http://dbpedia.org/resource/The_Usual_Suspects
13,http://dbpedia.org/resource/Mighty_Aphrodite
14,http://dbpedia.org/resource/Il_Postino:_The_Postman
15,http://dbpedia.org/resource/Mr._Holland's_Opus
16,http://dbpedia.org/resource/French_Twist_(film)
17,http://dbpedia.org/resource/From_Dusk_till_Dawn
18,http://dbpedia.org/resource/The_White_Balloon
19,http://dbpedia.org/resource/Antonia's_Line
20,http://dbpedia.org/resource/Angels_&_Insects
21,http://dbpedia.org/resource/Muppet_Treasure_Island
22,http://dbpedia.org/resource/Braveheart
23,http://dbpedia.org/resource/Taxi_Driver
24,http://dbpedia.org/resource/Rumble_in_the_Bronx
25,http://dbpedia.org/resource/The_Birdcage
26,http://dbpedia.org/resource/The_Brothers_McMullen
27,http://dbpedia.org/resource/Bad_Boys_(1995_film)
28,http://dbpedia.org/resource/Apollo_13_(film)
29,http://dbpedia.org/resource/Batman_Forever
30,http://dbpedia.org/resource/Belle_de_Jour_(film)
31,http://dbpedia.org/resource/Crimson_Tide_(film)
32,http://dbpedia.org/resource/Crumb_(film)
33,http://dbpedia.org/resource/Desperado_(film)
34,http://dbpedia.org/resource/The_Doom_Generation
35,http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home
36,http://dbpedia.org/resource/Mad_Love_(1995_film)
37,http://dbpedia.org/resource/Nadja_(film)
38,http://dbpedia.org/resource/The_Net_(1995_film)
39,
40,
41,http://dbpedia.org/resource/Billy_Madison
42,http://dbpedia.org/resource/Clerks_(film)
43,http://dbpedia.org/resource/Disclosure_(1994_film)
44,
45,http://dbpedia.org/resource/Eat_Drink_Man_Woman
46,http://dbpedia.org/resource/Exotica_(film)
47,http://dbpedia.org/resource/Ed_Wood_(film)
48,http://dbpedia.org/resource/Hoop_Dreams
49,http://dbpedia.org/resource/I.Q._(film)
50,http://dbpedia.org/resource/Star_Wars_(film)
51,http://dbpedia.org/resource/Legends_of_the_Fall
52,http://dbpedia.org/resource/The_Madness_of_King_George
53,http://dbpedia.org/resource/Natural_Born_Killers
54,http://dbpedia.org/resource/Outbreak_(film)
55,http://dbpedia.org/resource/Léon:_The_Professional
56,http://dbpedia.org/resource/Pulp_Fiction
57,http://dbpedia.org/resource/Priest_(1994_film)
58,http://dbpedia.org/resource/Quiz_Show_(film)
59,http://dbpedia.org/resource/Three_Colours:_Red
60,http://dbpedia.org/resource/Three_Colours:_Blue
61,http://dbpedia.org/resource/Three_Colours:_White
62,http://dbpedia.org/resource/Stargate_(film)
63,http://dbpedia.org/resource/The_Santa_Clause
64,
65,http://dbpedia.org/resource/What's_Eating_Gilbert_Grape
66,http://dbpedia.org/resource/While_You_Were_Sleeping_(film)
67,http://dbpedia.org/resource/Ace_Ventura:_Pet_Detective
68,http://dbpedia.org/resource/The_Crow_(1994_film)
69,http://dbpedia.org/resource/Forrest_Gump
70,http://dbpedia.org/resource/Four_Weddings_and_a_Funeral
71,http://dbpedia.org/resource/The_Lion_King
72,http://dbpedia.org/resource/The_Mask_(1994_film)
73,http://dbpedia.org/resource/Maverick_(film)
74,"http://dbpedia.org/resource/Faster,_Pussycat!_Kill!_Kill!"
75,
76,http://dbpedia.org/resource/Carlito's_Way
77,http://dbpedia.org/resource/The_Firm_(1993_film)
78,http://dbpedia.org/resource/Free_Willy
79,http://dbpedia.org/resource/The_Fugitive_(1993_film)
80,http://dbpedia.org/resource/Hot_Shots!_Part_Deux
81,http://dbpedia.org/resource/The_Hudsucker_Proxy
82,http://dbpedia.org/resource/Jurassic_Park_(film)
83,http://dbpedia.org/resource/Much_Ado_About_Nothing_(1993_film)
84,
85,http://dbpedia.org/resource/The_Ref
86,http://dbpedia.org/resource/The_Remains_of_the_Day_(film)
87,http://dbpedia.org/resource/Searching_for_Bobby_Fischer
88,http://dbpedia.org/resource/Sleepless_in_Seattle
89,http://dbpedia.org/resource/Blade_Runner
90,http://dbpedia.org/resource/So_I_Married_an_Axe_Murderer
91,http://dbpedia.org/resource/The_Nightmare_Before_Christmas
92,http://dbpedia.org/resource/True_Romance
93,http://dbpedia.org/resource/Welcome_to_the_Dollhouse
94,http://dbpedia.org/resource/Home_Alone
95,http://dbpedia.org/resource/Aladdin_(1992_Disney_film)
96,http://dbpedia.org/resource/Terminator_2:_Judgment_Day
97,http://dbpedia.org/resource/Dances_with_Wolves
98,http://dbpedia.org/resource/The_Silence_of_the_Lambs_(film)
99,http://dbpedia.org/resource/Snow_White_and_the_Seven_Dwarfs_(1937_film)
100,http://dbpedia.org/resource/Fargo_(1996_film)
101,http://dbpedia.org/resource/Heavy_Metal_(film)
102,http://dbpedia.org/resource/The_Aristocats
103,http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2
104,
105,http://dbpedia.org/resource/Sgt._Bilko
106,http://dbpedia.org/resource/Diabolique_(1996_film)
107,http://dbpedia.org/resource/Moll_Flanders_(1996_film)
108,http://dbpedia.org/resource/Kids_in_the_Hall:_Brain_Candy
109,http://dbpedia.org/resource/Mystery_Science_Theater_3000:_The_Movie
110,http://dbpedia.org/resource/Operation_Dumbo_Drop
111,http://dbpedia.org/resource/The_Truth_About_Cats_&_Dogs
112,http://dbpedia.org/resource/Flipper_(1996_film)
113,http://dbpedia.org/resource/The_Horseman_on_the_Roof
114,
115,
116,http://dbpedia.org/resource/Cold_Comfort_Farm_(film)
117,http://dbpedia.org/resource/The_Rock_(film)
118,http://dbpedia.org/resource/Twister_(1996_film)
119,http://dbpedia.org/resource/Maya_Lin:_A_Strong_Clear_Vision
120,http://dbpedia.org/resource/Striptease_(film)
121,http://dbpedia.org/resource/Independence_Day_(1996_film)
122,http://dbpedia.org/resource/The_Cable_Guy
123,http://dbpedia.org/resource/The_Frighteners
124,http://dbpedia.org/resource/Lone_Star_(1996_film)
125,http://dbpedia.org/resource/Phenomenon_(film)
126,
127,http://dbpedia.org/resource/The_Godfather
128,http://dbpedia.org/resource/Supercop
129,http://dbpedia.org/resource/Bound_(1996_film)
130,http://dbpedia.org/resource/Kansas_City_(film)
131,http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)
132,http://dbpedia.org/resource/The_Wizard_of_Oz_(1939_film)
133,http://dbpedia.org/resource/Gone_with_the_Wind_(film)
134,http://dbpedia.org/resource/Citizen_Kane
135,http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)
136,http://dbpedia.org/resource/Mr._Smith_Goes_to_Washington
137,http://dbpedia.org/resource/Big_Night
138,http://dbpedia.org/resource/D3:_The_Mighty_Ducks
139,
140,http://dbpedia.org/resource/Homeward_Bound:_The_Incredible_Journey
141,
142,http://dbpedia.org/resource/Bedknobs_and_Broomsticks
143,http://dbpedia.org/resource/The_Sound_of_Music_(film)
144,
145,http://dbpedia.org/resource/The_Lawnmower_Man_(film)
146,http://dbpedia.org/resource/Unhook_the_Stars
147,http://dbpedia.org/resource/The_Long_Kiss_Goodnight
148,http://dbpedia.org/resource/The_Ghost_and_the_Darkness
149,http://dbpedia.org/resource/Jude_(film)
150,http://dbpedia.org/resource/Swingers_(1996_film)
151,http://dbpedia.org/resource/Willy_Wonka_&_the_Chocolate_Factory
152,http://dbpedia.org/resource/Sleeper_(1973_film)
153,http://dbpedia.org/resource/A_Fish_Called_Wanda
154,http://dbpedia.org/resource/Monty_Python's_Life_of_Brian
155,http://dbpedia.org/resource/Dirty_Dancing
156,http://dbpedia.org/resource/Reservoir_Dogs
157,http://dbpedia.org/resource/Platoon_(film)
158,http://dbpedia.org/resource/Weekend_at_Bernie's
159,http://dbpedia.org/resource/Basic_Instinct
160,http://dbpedia.org/resource/Glengarry_Glen_Ross_(film)
161,http://dbpedia.org/resource/Top_Gun
162,http://dbpedia.org/resource/On_Golden_Pond_(1981_film)
163,
164,http://dbpedia.org/resource/The_Abyss
165,http://dbpedia.org/resource/Jean_de_Florette
166,
167,http://dbpedia.org/resource/Private_Benjamin_(1980_film)
168,
169,http://dbpedia.org/resource/The_Wrong_Trousers
170,
171,http://dbpedia.org/resource/Delicatessen_(1991_film)
172,
173,http://dbpedia.org/resource/The_Princess_Bride_(film)
174,
175,http://dbpedia.org/resource/Brazil_(1985_film)
176,
177,"http://dbpedia.org/resource/The_Good,_the_Bad_and_the_Ugly"
178,http://dbpedia.org/resource/12_Angry_Men_(1957_film)
179,http://dbpedia.org/resource/A_Clockwork_Orange_(film)
180,http://dbpedia.org/resource/Apocalypse_Now
181,http://dbpedia.org/resource/Return_of_the_Jedi
182,http://dbpedia.org/resource/Goodfellas
183,http://dbpedia.org/resource/Alien_(film)
184,
185,http://dbpedia.org/resource/Psycho_(1960_film)
186,http://dbpedia.org/resource/The_Blues_Brothers_(film)
187,http://dbpedia.org/resource/The_Godfather_Part_II
188,http://dbpedia.org/resource/Full_Metal_Jacket
189,
190,http://dbpedia.org/resource/Henry_V_(1989_film)
191,http://dbpedia.org/resource/Amadeus_(film)
192,http://dbpedia.org/resource/Raging_Bull
193,http://dbpedia.org/resource/The_Right_Stuff_(film)
194,http://dbpedia.org/resource/The_Sting
195,http://dbpedia.org/resource/The_Terminator
196,http://dbpedia.org/resource/Dead_Poets_Society
197,http://dbpedia.org/resource/The_Graduate
198,http://dbpedia.org/resource/La_Femme_Nikita_(film)
