model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.02747996369546127,0.0375131717513886,0.028036261943144732,0.03733653413222719,0.0277455635067301,0.03611198626496907,0.028495627946194136,0.036591232934672036,0.028256879731931826,0.03607598831270903,0.028002859364692413,0.0003600233307884855,0.036725782679193186,0.0006016778671308329
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.027478412779547132,0.03771514327040437,0.027234329196101303,0.036740114149213826,0.027816113797909107,0.0362650001739301,0.02801753627177289,0.03583853592618128,0.02870191068471845,0.0364364077525334,0.027849660546009774,0.0005043997456028818,0.0365990402544526,0.000629600941135753
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00017316740717440596,0.00023551871306939646,7.711983992800256e-05,0.00012807830135333018,0.0001841439599470504,0.0002310007547155641,0.00014315390765278705,0.00019944235660769499,0.0001284092845253542,0.00017591897948387756,0.00014119887984552002,3.778832063862108e-05,0.00019399182104597263,3.948435627130289e-05
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,3.412561108271406e-05,6.192008078647278e-05,1.3270160814689578e-05,2.7819923144643653e-05,4.7346623153645523e-05,6.565303993359548e-05,4.914874375810954e-05,6.890393969938589e-05,3.6861557818582156e-05,5.4626251044264195e-05,3.6150539325548174e-05,1.2825156638752326e-05,5.578464692167241e-05,1.476829190711499e-05
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,5.051398664027926e-05,8.297767978845139e-05,6.36640060813379e-05,8.529376240268476e-05,5.8912960851387314e-05,8.889607465092807e-05,8.805816589994625e-05,0.00010706855288988567,3.6697728672721796e-05,5.794885162142425e-05,5.95693696291345e-05,1.6934700199489435e-05,8.443698427067483e-05,1.5726132358395936e-05
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,8.524576556267666e-05,0.00013770984548893076,6.405719603140277e-05,9.095990841985954e-05,0.00013350983193314024,0.00018969736606343028,0.00014777388956604937,0.00019081310798411966,8.207840207604293e-05,0.00010686489054640584,0.00010253301703386239,3.226121122057165e-05,0.00014320902370054922,4.1251477160144853e-05
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,3.1782854296910836e-05,4.309102714724212e-05,7.552523624162833e-05,9.100682916047292e-05,7.328623791487e-05,9.71203074058355e-05,5.992870155572157e-05,8.326125196792443e-05,0.00011500806039397634,0.00014137154438029683,7.110621808062141e-05,2.6918082329252792e-05,9.117019201235435e-05,3.139988460787864e-05
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,4.3087065361276026e-05,8.524396560184625e-05,0.00012467397999973786,0.0001859531604608173,0.00013184969658842186,0.00018061705102326956,6.782526638619118e-05,9.95979209919723e-05,0.00013086672171325967,0.00016551129514498625,9.966054600977733e-05,3.701265307534613e-05,0.00014338467864457834,4.239229886119999e-05
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00011970449590864011,0.00017589663850245296,9.305495484868739e-05,0.0001415116609428382,0.00013392486576931982,0.0001911798616807172,0.00011620947413028568,0.00017032717165739477,0.0001424712862117022,0.0001994481129217434,0.00012107301537372704,1.6932776783409144e-05,0.00017567268914102932,2.000671754271614e-05
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.00012008676391564765,0.00018254950926349832,8.535498499325024e-05,0.00012979856215637227,0.00013058275119376837,0.00018342049469000153,0.00011336976893537268,0.0001490267471129115,0.0001251327016081469,0.00018822411789650117,0.00011490539412923717,1.58291424941514e-05,0.00016660388622385694,2.3100144289778153e-05
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00010654355452452413,0.00017259320827160801,0.00016481212073552734,0.00022767838345432345,0.00010432640008388053,0.00016717753339281276,0.00013255962288715012,0.00018244324295318065,0.00011287828149779159,0.00016155421342837036,0.00012422399594577474,2.2601398703279538e-05,0.0001822893163000591,2.3717150314418092e-05
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-roberta-large-v1;embedding_model_kwargs=None;embed_with=description;iterations=30;mi=0.5.,0.0001957102976447922,0.00030414036895013336,0.00019363512846389422,0.0002907513330230472,0.00037407654971450036,0.0004938594645848729,0.00018780281087126522,0.0002645599680282758,0.00019050053080643258,0.0002646194724732206,0.00022834506350017693,7.291550796631491e-05,0.00032358612141191,8.649904563978798e-05
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5.",0.027163991882811912,0.03730090023379454,0.027800200526874534,0.037106015182347615,0.027185923144471092,0.03539028581722637,0.02909418865253804,0.037114384860771656,0.028884722167612505,0.036583962300900316,0.028025805274861613,0.0008219736112951541,0.0366991096790081,0.0006966284887831164
