model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.5766266856846473,0.6623209478580817,0.5897791320885201,0.6870280044371588,0.5946496801521439,0.690084444419424,0.5889687067773166,0.6827820263746703,0.5987528094744122,0.6931134190732852,0.589755402835408,0.007455064647213494,0.6830657684325241,0.010921030174717935
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.5760168136237898,0.6709129246301381,0.5877988848547717,0.6773838525142283,0.5803626383125864,0.6735134484098217,0.5906738416320885,0.6863325510944328,0.5855605982019364,0.6779357280517778,0.5840825553250346,0.005259938077046417,0.6772157009400798,0.005236321872103739
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.4087394104426002,0.4846233582817406,0.40100449515905945,0.47875144639597644,0.40511670124481325,0.48782383788913175,0.4003457814661134,0.48617479075250264,0.4069845695020747,0.49396975778292107,0.4044381915629322,0.003285817744266519,0.4862686382204545,0.004918329286959838
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.4072186203319502,0.4820005678121248,0.40337979771784227,0.48177194410383545,0.4041011843015214,0.48534209552183655,0.409258514868603,0.49497919677400615,0.4110784059474412,0.49410818915451926,0.4070073046334716,0.0029424754735596957,0.4876403986732645,0.00578306008657076
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.41058631569847853,0.48408784595579124,0.4063213174273859,0.4845200568215224,0.40432053941908713,0.4864273126855049,0.4092455480636238,0.4941402598605539,0.41326482538035963,0.49836446647261745,0.40874770919778697,0.003147057841237937,0.4895079883591979,0.005720893481616017
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.41141446230982015,0.4823740085722089,0.4101458765560166,0.48581696181688827,0.405978561549101,0.48881502662055126,0.40725946576763483,0.49192108850230915,0.40908973029045637,0.4935281832866255,0.4087776192946058,0.0019525366418146255,0.48849105375971663,0.004045040918594452
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.4087990577455048,0.48680412595773276,0.4098169519363762,0.48751899860259706,0.40449667185338867,0.4869104919125757,0.40704745850622404,0.49217066174160146,0.40958635892116174,0.4964674242959069,0.40794929979253103,0.0019811175175399862,0.48997434050208283,0.003806575795141493
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.39879106154910093,0.47487887342219554,0.39358640214384505,0.47037785274737676,0.40023923755186724,0.4825867427666276,0.40207814661134167,0.48503357129251395,0.4010299965421853,0.4883785410145811,0.39914496887966805,0.0029791676480596034,0.480251116248659,0.0066441611352509545
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.38663900414937763,0.45735870540266693,0.38792487897648686,0.4652392292334717,0.3882393239972337,0.47147105069395717,0.3894843533886584,0.4733811293354578,0.396285010373444,0.4776702413696738,0.38971451417704017,0.0034077011724438317,0.4690240712070454,0.0070729585145078355
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.4045398945366528,0.48027101552917967,0.3993769450207469,0.4805315286032595,0.40044087136929457,0.4806923000595763,0.4052988848547718,0.49324413194845973,0.4069586358921162,0.4930984126943018,0.4033230463347165,0.0029148178998071685,0.4855674777669554,0.006210099100600154
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.4074310598201936,0.4844559602222228,0.4088751296680498,0.48847098255563215,0.4085794865145228,0.4904418038488162,0.4100749913554633,0.49506400707046316,0.41447181881051176,0.4986695243028269,0.40988649723374826,0.002442171912919115,0.49142045559999226,0.004979674903702978
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/distiluse-base-multilingual-cased-v2;embedding_model_kwargs=None;embed_with=name_EN;iterations=30;mi=0.5.,0.393248184647303,0.4775552087233958,0.3939259163208852,0.48034144255036626,0.39370223893499307,0.48394231482227673,0.3228611255186722,0.3831462646034043,0.3268188105117566,0.3873927982714497,0.366111255186722,0.033721804885244726,0.4424756057941786,0.04677173185430718
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5.",0.5811473461272475,0.6673996130748212,0.5854888485477179,0.6821769952198675,0.5809098374827109,0.6761322855950553,0.5858551607883817,0.6800458745883309,0.583579702627939,0.6741551701933313,0.5833961791147994,0.0020832033805521033,0.6759819877342813,0.005136346964121584
