model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.569786479944675,0.6484301882490332,0.5635057918395573,0.6521500656009739,0.5673562845781467,0.6560914083852186,0.5797648686030429,0.6735646826428372,0.5889821058091287,0.683175107090679,0.5738791061549101,0.009269792216174792,0.6626822903937484,0.013385603441879754
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.5658774204702628,0.6476867198722973,0.5700538122406638,0.6567216722396745,0.5741921680497926,0.6684084820449163,0.5689570366528355,0.6607353109905004,0.5817183177731673,0.6710765789703971,0.5721597510373444,0.00547095881823034,0.6609257528235571,0.00839062647477115
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.4042049187413555,0.4787640344293244,0.40445496196403874,0.482516793013869,0.40047155947441215,0.4786099572149158,0.4003766856846473,0.484821396901463,0.4080316390041494,0.4905328630452746,0.40350795297372066,0.002859050294386515,0.4830490089209694,0.004415854887156382
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.3967621887966805,0.4645165847939331,0.3927589038727524,0.46419388519196014,0.39255770228215764,0.4681882307225219,0.39244964557399725,0.4713653594647118,0.399810036307054,0.4793223216371241,0.3948676953665283,0.0029545176845809313,0.4695172763620502,0.005561764037097804
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.40570863589211614,0.4787040746519093,0.40351292358229596,0.48173530985565893,0.40459241009681873,0.4862809593308787,0.40755381224066395,0.4956365211652356,0.40965270573997237,0.49360823395897635,0.40620409751037345,0.002181745366433096,0.48719301979253177,0.006559395244585465
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.4132289505532504,0.4883890152863662,0.4037837136929461,0.4827211754350302,0.40486557745504836,0.4851677643470725,0.40843555497925316,0.4923192350496291,0.40769990491009683,0.4931299392885238,0.40760274031811894,0.0032995238362643776,0.48834542588132435,0.004010345466288657
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.40651041666666665,0.48271166305835544,0.40412841459197785,0.4835230994106891,0.40030644882434296,0.4839408275543983,0.40215637966804985,0.48529170617322687,0.40943313450899027,0.497523868692201,0.40450695885200555,0.0032122843139403214,0.48659823297777416,0.005526304440283593
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.4164257002074689,0.4921255213353416,0.4152295124481328,0.49365238319264276,0.4057330567081604,0.48693712679355267,0.4017922285615491,0.488293702423921,0.4117254495159059,0.49691382108730925,0.41018118948824345,0.005604012286242005,0.49158451096655353,0.0036165711562605512
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.3994525847164592,0.4745481872250245,0.4023102524204702,0.48143060617309236,0.4002649550484094,0.47894754323662103,0.4017930930152144,0.4845387807356009,0.40181643326417704,0.48544062813536787,0.40112746369294605,0.00108313169896202,0.48098114910114137,0.003956368513536731
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.40487162863070536,0.4796922371170132,0.40421529218533886,0.4848155725351622,0.4002238934993084,0.4826178740399117,0.4075855809128631,0.4917929283164144,0.4113520055325034,0.496571677638574,0.40564968015214387,0.0036977349907818123,0.4870980579294152,0.006195470079156805
