model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.7531098463330698,0.8214687760292375,0.7402298314726997,0.8095007616120942,0.7463326994006455,0.8146827877606215,0.7392492065550286,0.8054279519395388,0.7289582767322005,0.8036168339498051,0.7415759720987289,0.00802606850607819,0.8109394222582594,0.006495327939107628
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.7480177048343541,0.8195466686503611,0.7418131967084897,0.8050980963888134,0.7490767943588222,0.8169699427082663,0.7402714435964565,0.8091577183980391,0.72977379614536,0.8051959080421063,0.7417905871286965,0.0069076390253442555,0.8111936668375173,0.006006865704036095
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.5882051574952248,0.6768768694379677,0.5846786084765857,0.6730529997459818,0.5890651859810315,0.677336478667079,0.5818892531943621,0.672797909195464,0.5754224811466772,0.6684945683285044,0.5838521372587764,0.004933958509188869,0.6737117650749994,0.0032138662222314907
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.5820416903362313,0.6676581495662138,0.5780480739149048,0.6658943945782675,0.578431140090891,0.6688198921423949,0.5743863716821446,0.6649586481781719,0.5736804474988473,0.6644847900424997,0.5773175447046037,0.0030302333551066062,0.6663631749015095,0.0016390972497369
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.5948673012168214,0.6794260984949001,0.5925800494385168,0.6794949744195847,0.5912974111670947,0.6807388738374233,0.5881646465207798,0.6776262286421502,0.5831688864601857,0.6746175729639745,0.5900156589606798,0.004051221064055525,0.6783807496716066,0.0021272424144668264
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.5955331775258512,0.6803207665832753,0.5934802338552987,0.6823710495881421,0.5926358118454852,0.6816520714907324,0.5874220499489561,0.6777692395713788,0.5855595073437396,0.6767586870284732,0.5909261561038661,0.003788154198479496,0.6797743628524003,0.002176324829535852
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.5982327942847264,0.6815912060589259,0.5977440332114865,0.6829305639447087,0.5939002914443786,0.6819557725847327,0.5891791497892379,0.6773495417759073,0.5845383302871632,0.6762542356133514,0.5927189198033985,0.0052249829109842424,0.6800162639955252,0.002683264623900316
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.6000837542399394,0.6837979319418794,0.5956387386386089,0.6826176619063937,0.5966826796417045,0.6847710857561053,0.5859962674125668,0.6764398537768198,0.5861553114503063,0.6769131851489423,0.5929113502766252,0.005771782787137466,0.6809079437060281,0.0035247966855408426
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.5953206402720147,0.6774863691530965,0.5934918010686294,0.6799638003257581,0.5926576393005334,0.6796692928570469,0.5897883426365013,0.6768867588411595,0.5860142871550419,0.6766463375558909,0.5914545420865441,0.0032532192232664664,0.6781305117465903,0.0014066561995927861
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.5901990661842191,0.678214515451068,0.5895435633191728,0.6787309937983103,0.5899045293255614,0.680298638008829,0.5854743329299216,0.6769449707107245,0.5834069868438385,0.6738399825164436,0.5877056957205428,0.0027527223147935436,0.677605820097075,0.0021682273309283134
