model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.7438426045988934,0.8065165046323356,0.7484062767568992,0.8130348341459251,0.7358384685997498,0.8041594888146332,0.7350932632302576,0.8048931031874657,0.7351169533771323,0.8047717219774153,0.7396595133125865,0.005478868436810672,0.8066751305515549,0.0032740809722884845
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.744664921293552,0.8038274178966958,0.7427167463198973,0.8093160115032542,0.7381565474132252,0.8029519593513769,0.7325650964483302,0.8023083317964111,0.7355926138608971,0.8045079738361265,0.7387391850671804,0.004456345826101911,0.804582338876773,0.00248243179074451
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.5890935225663572,0.6772142699778019,0.5877976139020615,0.6768678771413583,0.5841110689175393,0.674373916330403,0.5810599745603635,0.6729246353983757,0.5764642918889548,0.6686421676257807,0.5837052943670552,0.00459074218526155,0.674004573294744,0.003116367642361907
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.5791387623081735,0.6648049679607478,0.5782789242079958,0.6666663637685903,0.5817122460152803,0.6706358947126887,0.5753832874349601,0.6667602464246455,0.5751787463775274,0.6667775526601772,0.5779383932687875,0.002447162785349008,0.66712900510537,0.0019064607082152167
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.593491343114009,0.6787789150869618,0.5917661817493247,0.6802082567862388,0.5921540127115854,0.6817850044035413,0.5878707682934861,0.6786790970714932,0.5817481465701771,0.6730129542873017,0.5894060904877164,0.004261730062227222,0.6784928455271073,0.002964006723561803
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.5976450635579267,0.6833507663896209,0.5936596543008628,0.6813252676881311,0.5966924819288019,0.6847553977326034,0.5881263635727458,0.6788783873979075,0.5801667983929394,0.6719236835162554,0.5912580723506553,0.006464023791464844,0.6800467005449036,0.004518224773261563
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.5926513051192124,0.6775790901997919,0.5952212383916222,0.6808659119353954,0.5979818917539353,0.6860102215145352,0.5902919229154318,0.6811355376167589,0.5886250812998091,0.6772997527146534,0.5929542878960021,0.0033567210401586082,0.680578102796227,0.0031509724613348975
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.600336066653494,0.6849728918038227,0.590235507022657,0.6776478405665383,0.5928617738589211,0.6831570568147189,0.5927929314447079,0.681652523060729,0.5838715740877956,0.6765818637824461,0.5920195706135152,0.00529233842349758,0.6808024352056511,0.003207001434236263
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.5942653584601199,0.6782260578423802,0.5934058908400842,0.6797446694927031,0.594314971925838,0.6823787738749301,0.586320679378252,0.6750307879180303,0.5902993942649674,0.6787849520607628,0.5917212589738522,0.0030732957168757985,0.6788330482377612,0.002376180032230943
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.5924822169531713,0.6791237056238076,0.5896093749999999,0.6786488174355342,0.5921919097428044,0.681259715666242,0.5805325137489297,0.6733178398576621,0.5838357095518013,0.6751347934380658,0.5877303449993414,0.004753810276982486,0.6774969744042624,0.0028697136829163115
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.594370574820523,0.6806991481971841,0.5935669519363762,0.6814759583920895,0.595149298351775,0.6851347621131599,0.5877139677188302,0.6779625180645038,0.587697244656853,0.6758275839346006,0.5916996074968714,0.003299261779175269,0.6802199941403075,0.0031733718561484615
