model,fold-1_execution_time,fold-2_execution_time,fold-3_execution_time,fold-4_execution_time,fold-5_execution_time,execution_time_mean,execution_time_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),872.7188708782196,831.2382507324219,854.7199060916901,859.9595384597778,826.756498336792,849.0786128997803,17.467889672379698
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),860.0699541568756,824.9237394332886,869.8562457561493,853.560537815094,831.4898431301117,847.9800640583038,17.08447217269288
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),122.30746555328369,109.2886860370636,112.02139472961426,114.42824530601501,119.62131643295288,115.53342161178588,4.7989795847951395
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),123.33826684951782,125.30359053611755,128.1398003101349,131.39444994926453,132.62043046951294,128.15930762290955,3.514703335361697
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),136.2598111629486,139.9979784488678,142.77274322509766,145.0350649356842,146.61725878715515,142.1365713119507,3.687612493830746
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),129.97992396354675,134.14293384552002,139.80626440048218,140.172217130661,142.77011251449585,137.37429037094117,4.647065913007435
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),393.0265762805939,400.080584526062,406.87312936782837,412.5279619693756,415.8613703250885,405.6739244937897,8.287832568684157
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),112.66566872596741,116.3204619884491,121.12135410308838,124.39609694480896,126.29089832305908,120.15889601707458,5.047052220419937
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),98.08761096000671,103.13659715652466,105.27485609054565,109.64091920852661,109.14388489723206,105.05677366256714,4.243176526273072
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),99.97717642784119,103.4806969165802,111.11111855506897,110.39243531227112,115.56505107879639,108.10529565811157,5.610118818057309
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),112.68522953987122,118.12803149223328,119.76923513412476,122.52699661254883,127.20802927017212,120.06350440979004,4.803844693387638
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-mpnet-base-v2;embedding_model_kwargs=None;embed_with=abstract;iterations=30;mi=0.5. (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),1097.1954596042633,1104.172685623169,1101.1510183811188,1086.4588451385498,1090.9254114627838,1095.980684041977,6.504431161973352
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5. (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2'])",1473.2942371368408,1482.9336125850677,1485.9971058368683,1477.976644039154,1485.8485758304596,1481.210035085678,4.9095315630080085
"Entity2Rec;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};run_all=False;workers=16;iterations=1;collab_only=False;content_only=False (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2'])",5953.067461013794,6025.953280925751,6049.568118572235,6125.241814374924,6476.553296804428,6126.076794338226,183.65456748764458
