model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.07460231588154975,0.1783173114459508,0.07490354379505686,0.17686550017598485,0.07097503179886053,0.16702361152477807,0.07378754551402401,0.17656060566505877,0.0761267944852174,0.17795161435372464,0.07407904629494172,0.0017243409486467698,0.1753437286330994,0.00421103763252132
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.07406105516678993,0.17749135957165055,0.07666726937190647,0.18505570564506943,0.07442898271415296,0.17381317423201384,0.07795052026186819,0.1816859988487789,0.07467416225749558,0.17272060386205176,0.07555639795444262,0.0015000874594929998,0.1781533684319129,0.004667166355760935
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00016837344256699098,0.0003970990001868358,3.874381293736132e-05,9.473672341484074e-05,9.525942993684928e-05,0.00022392684011271951,0.00012903225806451613,0.0002822150873935103,7.994111623143882e-05,0.00019778503495971795,0.00010227001194743131,4.3975418500785504e-05,0.00023915253721352488,9.959968650938982e-05
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.00021168288103771976,0.0004885503546138523,0.00016348779655231266,0.0005151966257108404,8.258661887694145e-05,0.0002591685559869717,0.00021341099163679807,0.0006284795941437982,0.00023429766171701656,0.0003904331732727011,0.0001810931899641577,5.445067445675115e-05,0.00045636566074563277,0.0001243816176591085
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.00016129032258064516,0.00020178421925716973,9.363799283154122e-05,0.00013859508662337604,3.763440860215054e-05,4.968160524845546e-05,0.00011200716845878135,0.0002422809092590046,7.853302611367127e-05,0.0003472968280068865,9.66205837173579e-05,4.058163761562985e-05,0.00019592772967897846,9.977021652442239e-05
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.00023047875064004095,0.0007281123403823055,0.00015834613415258576,0.0006490695299956664,0.00017560590544461513,0.0005217087651958452,0.00012282386072708654,0.00034654133422645236,9.698754053592763e-05,0.00024844479376251205,0.00015684843830005121,4.586176516876795e-05,0.0004987753527125562,0.00017975000427006356
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.0002465651135005974,0.0005253165879465716,8.981908175456562e-05,0.00020798413967330212,0.0001057347670250896,0.00027216171050717034,0.00014023297491039428,0.00036979518352989887,0.0001987540535927633,0.0005649062049218826,0.00015622119815668204,5.8625610282322035e-05,0.0003880327653157651,0.0001387856476166163
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00016269841269841268,0.0003989623673009991,6.59242191500256e-05,0.00025820095341630125,0.00014575866188769416,0.000326524356004771,0.00013536866359447003,0.0002932731764857555,9.946236559139784e-05,0.00021735756584102855,0.00012184246458440007,3.479042987029772e-05,0.00029886368380977114,6.182688396560633e-05
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00017473118279569892,0.00030523476812402097,0.00017524321556579623,0.0005563017960086232,0.00011678614097968935,0.00026085665913173174,0.0001227598566308244,0.0005017878298849675,5.4360812425328564e-05,8.063823010619688e-05,0.0001287762416794675,4.469597697795892e-05,0.0003409638566511081,0.00017187084755178892
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.00018509984639016898,0.00040002815911809476,0.00012147977470558116,0.0001920373455247451,8.307731694828468e-05,0.00017708085826474525,0.000247589179040792,0.0009031309834335567,0.00018704130397678785,0.0003537949315896925,0.00016485748421232293,5.7124477861697156e-05,0.0004052144555861668,0.00026384887807365465
