model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.08453898916197303,0.19862877518172262,0.08115786508749259,0.1931001772492272,0.08600070404505888,0.2062088363915988,0.08567884954160875,0.2013603181505219,0.0854279847243557,0.20049636439844484,0.08456087851209779,0.001769508942233456,0.19995889427430308,0.004245606093721853
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.08264697236919458,0.1960447519997602,0.0830933593718252,0.19604612130213503,0.08389382668638941,0.19807288783851087,0.08503335637819445,0.19920863919953494,0.08515964755077658,0.2044263761282545,0.08396543247127605,0.0010070339663655896,0.19875975529363912,0.003082821035052266
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00010541474654377881,0.0001975161055325943,0.00015030295272230757,0.00032191775783515483,0.00018868407578085,0.0003835715300437555,0.00017127496159754228,0.00034098291890636775,0.00010722819593787335,0.0003195401108167695,0.0001445809865164704,3.352496682521388e-05,0.00031270568462692837,6.200287224186295e-05
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.00012694145758661887,0.0002340796567245787,0.00026224611708482675,0.0006030788751396727,0.00024340757808499747,0.00041748207102903785,0.0001470174091141833,0.00037794119411519074,0.00012028503157535417,0.00034010983462740355,0.0001799795186891961,6.04216522701023e-05,0.00039453832632717665,0.00012083086201543986
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,7.317801672640383e-05,0.0001441793190261863,3.823178016726404e-05,0.00011211933655369171,0.0001279015190305513,0.00021412880779499784,3.456221198156683e-05,0.00022151096126617233,0.00010633213859020311,0.0001854098788767309,7.604113329919782e-05,3.678393710353307e-05,0.00017546966070355581,4.1726461630108644e-05
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.00015337514934289127,0.0004004613116270255,6.398276156340672e-05,0.0003455385179170878,0.00017217101894521247,0.000284982877350094,0.00017029356545485578,0.0002992168445022523,0.00015060163850486431,0.00023105959239633203,0.0001420848267622461,4.000212982643875e-05,0.00031225182875855835,5.726185870898346e-05
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.00013978494623655913,0.00032643042026725253,0.00018635859361665813,0.0004995618706337051,0.00013620071684587815,0.00034520804284762996,4.480286738351255e-05,0.00016143549830208834,0.00016935483870967742,0.0004550263317677154,0.0001353003925584571,4.894357785505687e-05,0.0003575324327636783,0.00011768657955608101
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00011162314388120839,0.0005177426667571296,0.0002319295101553166,0.0006523099162899745,2.4641577060931903e-05,8.888629335084407e-05,0.0001399982932240997,0.000428952264754004,8.429339477726574e-05,0.00018538910323830565,0.00011849718381976446,6.834503185092774e-05,0.0003746560488780516,0.00020880606277079094
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00015247909199522105,0.0003546369866600544,0.00015448455367810207,0.00045232635077919987,5.913978494623657e-05,8.448471703777612e-05,0.00021652585765488992,0.0007157086929493404,0.0001728537293053422,0.00029771514602417885,0.00015109660351595838,5.142724138421807e-05,0.0003809743786901099,0.00020623774755043237
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.0002813193377709507,0.0006085132569469984,0.00020391705069124424,0.0009119446387422282,0.00024065540194572455,0.0004963750084816472,0.00040695937873357226,0.0007574543038135549,0.00023924731182795703,0.00030819953822191,0.00027441969619388973,7.065708699422163e-05,0.0006164973492412678,0.00020818195247159133
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00016291175968595324,0.00043094827934514376,0.00018241167434715822,0.00025778000474021055,0.0003108252261478068,0.0009897474660356441,0.00020818399044205497,0.0005979212072315739,0.0003116572793992149,0.000480280521862164,0.0002351979860044376,6.372903917073042e-05,0.0005513354958429472,0.0002449865309333941
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-mpnet-base-v2;embedding_model_kwargs=None;embed_with=name;iterations=30;mi=0.5.,0.00033154121863799283,0.0006035720790212365,9.011776753712239e-05,0.00036204020417891374,4.8387096774193554e-05,0.00019761489992886028,3.315412186379928e-05,8.007602703236191e-05,0.00012297320361836492,0.00022129199366074118,0.0001252346816862946,0.00010787500167829542,0.0002929190407644227,0.00017933126165936943
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5.",0.0819007665591127,0.1960406072580151,0.08216509382526407,0.19406990701797994,0.08427890021998445,0.19859456914950696,0.08662068124740935,0.2050717833469134,0.08664906554019458,0.20534873439176285,0.08432290147839303,0.0020598853684202106,0.19982512023283566,0.004625949865336662
