model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.144139522811599,0.23305295996070893,0.14382824976147324,0.23394181809301826,0.14366162771420182,0.23458160677754203,0.14625927054769908,0.23858500030763485,0.14148116069608394,0.23415723186082746,0.14387396630621144,0.001518742437017525,0.2348637233999463,0.0019264161302792403
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.1435025510538059,0.2336794032170149,0.13859628017186212,0.22815945032998966,0.14884462568067958,0.23924405439834098,0.14360088138000573,0.23227167682619923,0.1420139127682808,0.23108436561257875,0.14331165021092682,0.0033061383039800036,0.2328877900768247,0.00366108944403274
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.0029321435184183255,0.007892870877154843,0.0035121011406801434,0.008293287901383851,0.0035678025776116973,0.008120844363187758,0.003237673825274189,0.007907695299782228,0.0033706593277112893,0.008752287187532404,0.0033240760779391287,0.00022715743901481392,0.008193397125808216,0.00031608281542256663
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.0007386086283223081,0.0017800105276787994,0.0008398979952532447,0.001919682224495224,0.0004044841690652931,0.0013267404811106785,0.0009168223669814339,0.0020249975405964003,0.0007427957043545591,0.0018713903067050577,0.0007285217727953677,0.00017502436122295592,0.001784564216117232,0.00024216818045674402
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.002206006946197826,0.006713463847074194,0.002399215607062903,0.005725449893208693,0.002639877796293491,0.006821371417970195,0.00153345873520847,0.004466868513876073,0.0022872691848036496,0.005050007132185948,0.0022131656539132677,0.0003699302402463061,0.00575543216086302,0.0009179292882810597
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.0046109923487088565,0.010296522929095091,0.004030669689029534,0.010518174803915896,0.004736950630375869,0.010552084259813282,0.004191431432947869,0.010500888086994226,0.004546280866535374,0.011113658804039818,0.004423264993519501,0.00026707714862381,0.010596265776771661,0.0002737474856829011
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.003238314060159235,0.008213805015894643,0.00269483579928967,0.006693248488284962,0.003487260394515608,0.007657678066719994,0.002765658401925634,0.0066599918014970646,0.002172566446161356,0.005770831487270705,0.0028717270204103008,0.0004570851029885482,0.006999110971933474,0.000851635650014118
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.004709036790160863,0.011068824722609656,0.00542092387797584,0.01309757964297329,0.005443851100001684,0.012747899134229546,0.005065772862697571,0.012750705148333054,0.004587057516537898,0.011514192448516994,0.005045328429474771,0.00035310466749247413,0.012235840219332508,0.000794051098659438
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00480614609458724,0.011084440763341438,0.0029992509552424712,0.007214807808171033,0.002366420351574116,0.0061270396914948075,0.0034736214209968182,0.009196509001282412,0.0028836528228981394,0.006753891196914695,0.003305818329059757,0.0008287119054366677,0.008075337692240878,0.0018217751792042275
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.0036927345463930827,0.009674558073027277,0.004694123692444653,0.011385958305985764,0.004507299679622055,0.011474894608759284,0.005097389845534066,0.01132640482229792,0.004883757792029267,0.011934678942903305,0.004575061111204625,0.0004827812391326202,0.011159298950594709,0.0007726019753001537
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.004342804401128898,0.010895621194826488,0.004654198017135451,0.010970136366819904,0.0049998842767930785,0.012184322084972119,0.004440011894942966,0.010475095072216459,0.0039884529280075414,0.009703375471586315,0.004485070303601587,0.0003354210116905427,0.010845710038084258,0.0008064910367343854
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-mpnet-base-v2;embedding_model_kwargs=None;embed_with=abstract;iterations=30;mi=0.5.,0.005012624349845983,0.011217376013459374,0.004655439411536973,0.01032140490570865,0.004945046672688949,0.011280475904897827,0.004096445223547178,0.009914985521947028,0.004409332386974663,0.010949662194280374,0.0046237776089187495,0.00034043626918613324,0.01073678090805865,0.0005328750748363292
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5.",0.1461894904558579,0.2369198984847341,0.1466969347143437,0.2369961976461129,0.1406126981054391,0.23231892238106,0.14379581670459315,0.23328722654093056,0.14371296439906625,0.23534377232177242,0.14420158087586002,0.002166196918167179,0.23497320347492204,0.0018924679387160137
"Entity2Rec;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};run_all=False;workers=16;iterations=1;collab_only=False;content_only=False",0.004935012652403956,0.011668562617078914,0.008107106486992111,0.018717811412216668,0.004729437138352454,0.011830884361406127,0.005532474369897993,0.0142173441376458,0.004607614166203774,0.011341522235143585,0.005582328962770057,0.0013018063474815986,0.01355522495269822,0.0027757530773543137
