model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.08624996162310891,0.1466984457415187,0.0824297575404334,0.14217606951252817,0.08458638977114025,0.1435927948982144,0.0868070132256361,0.14868280008131346,0.083044802308954,0.1433049793712932,0.08462358489385453,0.0017157667049831863,0.14489101792097359,0.002417281673134794
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.08534186473522447,0.1456820194829466,0.08607884884239445,0.14712944108970358,0.08377238141853503,0.14439307096389323,0.0846875833237391,0.14572392614456067,0.08333561503765106,0.14419561024582062,0.08464325867150882,0.0010019274732948398,0.14542481358538492,0.001061773216113066
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.0025555804275352524,0.006290396186281511,0.0023406790144313797,0.005920532547183892,0.0027626760539879434,0.006715487391585612,0.002484016937348891,0.005915418813738904,0.002675417849258909,0.006409016681603209,0.002563674056512475,0.00014712309300228576,0.006250170324078626,0.0003046604326895508
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.000990134531860328,0.0022775651825808095,0.0008404898413866405,0.0020969277686715437,0.0008487840469766517,0.0021048922330444454,0.0008579903815830968,0.0021013339788658724,0.000800026389326886,0.001979653827294045,0.0008674850382267205,6.443940383169542e-05,0.002112074598091343,9.520374761920008e-05
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.0008014821822768845,0.001953549084969064,0.0006235219943385743,0.0014894032551208015,0.0005714822260765969,0.0015348827513699567,0.0006319230920845158,0.0014629010766326622,0.0007118154104909071,0.0018066859790348906,0.0006680449810534957,8.041491157851204e-05,0.001649484429425475,0.00019531539441106747
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.0014839309804127686,0.003888338996969336,0.0014600602934330465,0.003692930698705445,0.001545769474395105,0.004024415926020564,0.0012473037626873167,0.003243264276560062,0.001290700570147117,0.0033805830406692175,0.0014055530162150707,0.00011576589678824227,0.003645906587784925,0.00029555760000546936
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.0001773034268895196,0.0003800696156901206,0.00021050141911069063,0.000430473460537982,0.00012516424892252705,0.00028688152097253714,0.00014329732996951538,0.00034353108944322133,0.00014165484074424471,0.00027907007205829187,0.00015958425312729947,3.058755071725001e-05,0.00034400515174043053,5.702159676259717e-05
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.005058058709134868,0.011351465234322311,0.005251562372250838,0.011763135323032654,0.004873748344996571,0.011487111517461788,0.005020770918742773,0.011381228624027287,0.005000713935316585,0.01140926814795981,0.005040970856088327,0.00012217430724664207,0.011478441769360772,0.00014932113715625535
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.0009394753670415923,0.0023152210726932586,0.0014180230499116497,0.0033465855067358647,0.0009412777252181226,0.002312448190576531,0.001066663892684864,0.0025414543646248844,0.0007618177099758225,0.0018968666493291346,0.0010254515489664102,0.00021899350590958558,0.0024825151567919343,0.00047958016175353473
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.001500570178402487,0.003673977239230536,0.001818580495111952,0.004533424898489419,0.0012732058177698355,0.0031862944856713283,0.0005669497379525761,0.0014476787361029169,0.0009694234205823609,0.0023726020212454743,0.0012257459299638424,0.00043103301069382993,0.003042795476147935,0.0010615568887156546
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.002500069167046264,0.006025150699090538,0.002612940896250578,0.006479606614917563,0.002682145172270527,0.006501034682482634,0.0023002181173548647,0.005520525027343597,0.0026044612197343984,0.0063665383667575815,0.0025399669145313264,0.0001332446549676836,0.006178571078118382,0.0003705399546055097
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-mpnet-base-v2;embedding_model_kwargs=None;embed_with=movie_title;iterations=30;mi=0.5.,0.0032069949392560556,0.007461500192663547,0.002891803864052366,0.0069653751196065245,0.00279933943776186,0.006958260159697411,0.0026804044465468307,0.006810023815591402,0.00258011100411467,0.005626998098042771,0.0028317307383463565,0.00021526417933072847,0.006764431477120331,0.0006098665514686489
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5.",0.08549613832533258,0.14607622473016446,0.08299061434728416,0.14381701955840007,0.0855405449768821,0.14552462089915863,0.08457052718377024,0.14564136499357075,0.08288681093144885,0.1415560108380638,0.08429692715294358,0.0011622762674356614,0.14452304820387155,0.0016714020944237674
