model,fold-1_MAP@10,fold-1_nDCG@10,fold-2_MAP@10,fold-2_nDCG@10,fold-3_MAP@10,fold-3_nDCG@10,fold-4_MAP@10,fold-4_nDCG@10,fold-5_MAP@10,fold-5_nDCG@10,MAP@10_mean,MAP@10_std,nDCG@10_mean,nDCG@10_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.12568673827606833,0.19702572882821942,0.12231183995397275,0.19144791100341133,0.1276151520517454,0.19908331257493464,0.12520190436979306,0.19558203672468408,0.12645719855577747,0.19751108759810013,0.1254545666414714,0.0017701905543997907,0.1961300153458699,0.0025943788996401667
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.1282089657177563,0.19927289883584187,0.12367163206802222,0.19461597324734786,0.13149949875400246,0.20271672792120718,0.11942641689984798,0.18880310260785346,0.12373016548261442,0.19325130138565413,0.1253073357844487,0.004159580225156197,0.19573200079958092,0.004831840003512164
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00251001261431725,0.0061617115544688825,0.0025816908441080627,0.006311855178885019,0.002949638777512477,0.006929381718095282,0.0030802403436233456,0.007368291299292464,0.002543523461628949,0.00591811412215195,0.002733021208238017,0.00023495846753681692,0.006537870774578719,0.000532833216561568
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.0010818909149384551,0.0025691825710569068,0.0010221973815280343,0.0022493476721791622,0.000893636777742738,0.0022032754271190977,0.0009717542952918229,0.0021969320085905943,0.0010765695627036685,0.0023865921336499,0.0010092097864409437,7.035424319934047e-05,0.002321065962519132,0.00014162125013739523
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.000451069698482778,0.001076850422223599,0.0003884421318196153,0.001063158594138976,0.0005256131594776738,0.001302385088881288,0.0006398893994683968,0.0014969457967386932,0.0006042761659483514,0.0014198432235398612,0.000521858111039363,9.332635648670559e-05,0.0012718366251044833,0.0001761132822332948
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.0015454870966046463,0.0037155617026060454,0.0014127887496058027,0.00369157911373972,0.001572593513429409,0.0038843481301793835,0.0014073774776037467,0.003408990431656643,0.0015435204895055889,0.003967378066014073,0.0014963534653498387,7.120558255072697e-05,0.003733571488839173,0.0001922704791445957
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.00014349442867654788,0.0004031015716714597,0.0002262634757115993,0.00045531418013646516,0.00023381819615263326,0.0004455518868771274,0.0002239369809734048,0.00042490566179717923,0.00014042625880374224,0.00022808567246553619,0.0001935878680635855,4.229125833183824e-05,0.0003913917945895536,8.360451503155712e-05
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.005334536834724079,0.01204955228272121,0.0051511467859770834,0.011612680806005573,0.004943810626102293,0.011240022776909896,0.0051985577067471585,0.011635252631515764,0.004958090609925599,0.011407182878328022,0.005117228512695243,0.0001485842719663356,0.011588938275096093,0.0002719010998631189
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.002758583831190067,0.0069333426374133976,0.0029209694409404676,0.006991904441669736,0.002375740215144189,0.005510292089070733,0.0027420043624513824,0.006663767244873018,0.0028518419969165007,0.006796165063273442,0.0027298279693285217,0.00018856075249235068,0.006579094295260065,0.0005463572983999418
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.0007272350993377483,0.0017527911573232066,0.000923733750306598,0.002218939609586897,0.0008598405544459628,0.0022078312590624555,0.0008380773897123234,0.0021794242966472394,0.0013800366019598913,0.003548860893507826,0.0009457846791525047,0.00022619113489799324,0.002381569443225525,0.0006091678820218906
