model,fold-1_execution_time,fold-2_execution_time,fold-3_execution_time,fold-4_execution_time,fold-5_execution_time,execution_time_mean,execution_time_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),65.59420537948608,67.20903491973877,57.98138952255249,60.9371383190155,60.78391885757446,62.50113739967346,3.392769432353053
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),58.38179397583008,59.346094846725464,69.2099997997284,69.66385984420776,72.0556321144104,65.73147611618042,5.698239015904784
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),421.85998702049255,423.04240250587463,422.2421176433563,444.6513555049896,431.4924781322479,428.6576681613922,8.749093074604472
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),714.7390706539154,711.4058930873871,711.0676975250244,725.316766500473,729.6344854831696,718.4327826499939,7.617513296995634
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),1128.122995853424,1129.921528339386,1142.0289587974548,1159.4378635883331,1161.5314364433289,1144.2085566043854,14.139512332775336
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),841.9893844127655,838.047012090683,855.6988599300385,875.9140064716339,863.958114862442,855.1214755535126,13.962363906214415
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),3924.1400179862976,3884.4710636138916,3907.3936808109283,3921.5670144557953,3896.1495954990387,3906.74427447319,15.040547769980568
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),581.9411904811859,571.7535350322723,594.719437122345,612.3020131587982,611.742773771286,594.4917899131775,16.058630704482407
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),436.4059510231018,429.3820357322693,452.5149965286255,466.26160740852356,460.1409201622009,448.9411021709442,13.984960778306903
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),461.0558383464813,458.52651357650757,478.02854323387146,492.6478543281555,490.9921967983246,476.2501892566681,14.383113211127679
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),1106.815761566162,1112.2616317272186,1127.9643218517303,1147.6637680530548,1142.0599610805511,1127.3530888557434,15.99201848629362
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-mpnet-base-v2;embedding_model_kwargs=None;embed_with=abstract;iterations=30;mi=0.5. (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),584.6681482791901,588.5815207958221,598.1005983352661,599.5031566619873,591.9472591876984,592.5601366519928,5.610538760523271
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5. (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2'])",516.4304368495941,513.5417702198029,519.9443655014038,523.9255037307739,526.8909893035889,520.1466131210327,4.842343322446196
