model,fold-1_execution_time,fold-2_execution_time,fold-3_execution_time,fold-4_execution_time,fold-5_execution_time,execution_time_mean,execution_time_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),31.03882360458374,31.129594087600708,31.280343770980835,30.66736340522766,31.40706992149353,31.104638957977294,0.2523889844170324
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),35.216288805007935,37.2362847328186,32.44275641441345,30.25230860710144,30.4140043258667,33.11232857704162,2.7328614267663416
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),403.08962202072144,404.2779517173767,426.6071135997772,441.45125246047974,442.6907114982605,423.6233302593231,17.240531577091613
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),707.2887258529663,688.6881060600281,724.395964384079,725.0841221809387,729.5282461643219,714.9970329284668,15.184354257851
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),849.0972709655762,839.3933925628662,874.3520383834839,875.7359440326691,881.1118493080139,863.9380990505218,16.524344291814884
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),837.925775051117,837.0716314315796,869.8251714706421,871.837982416153,873.265243768692,857.9851608276367,16.76497612408834
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),3943.298209667206,3860.617765188217,3886.185434818268,3866.28222990036,3885.1326508522034,3888.303258085251,29.292984908982742
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),553.345694065094,571.6057472229004,599.1227114200592,606.0540301799774,610.6044144630432,588.1465194702148,22.04634832558094
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),365.19053864479065,385.6841027736664,414.59052443504333,410.71138429641724,414.96058106422424,398.22742624282836,19.760412785293973
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),437.19526171684265,459.13233757019043,483.5290307998657,486.9537136554718,493.19826674461365,472.00172209739685,20.894234347247107
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),658.6243155002594,678.6474277973175,702.6973240375519,710.953549861908,714.9114797115326,693.1668193817138,21.373001003184108
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-mpnet-base-v2;embedding_model_kwargs=None;embed_with=movie_title;iterations=30;mi=0.5. (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),483.28894782066345,497.8332419395447,506.94245171546936,502.7900941371918,505.44680070877075,499.260307264328,8.565842372984786
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5. (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2'])",439.341050863266,451.94163489341736,457.62271785736084,456.0249493122101,454.3936424255371,451.8647990703583,6.53767084527634
