model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.12221505376344086,0.1725963896427974,0.11744444444444443,0.161089490972696,0.11383154121863799,0.15965569399874402,0.11903405017921147,0.1640291060380611,0.11290681003584231,0.15678531879882576,0.11708637992831541,0.0034143141162792483,0.16283119989022485,0.005412281881689784
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.12009856630824373,0.16116746126788176,0.11940143369175626,0.1648717981487346,0.11820250896057348,0.16297598793884374,0.11513440860215055,0.157306757643456,0.11639247311827958,0.16412945580025928,0.11784587813620073,0.001848566786025087,0.1620902921598351,0.002698638184573808
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00020430107526881721,0.0002082827694538335,0.00035663082437275987,0.0004852674922234197,0.0003584229390681004,0.0003760182020303835,0.00013440860215053763,0.00018580703204127498,0.00021505376344086021,0.00032526374742893125,0.0002537634408602151,8.913568467798298e-05,0.00031612784863556864,0.00011035634503830027
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,4.838709677419355e-05,5.925424338863751e-05,5.7347670250896056e-05,5.5138220641993526e-05,0.00029928315412186383,0.00047230723616551064,0.00028673835125448023,0.000357504534659577,0.0002634408602150538,0.0002776107543990187,0.00019103942652329747,0.00011343732122877839,0.0002443629978509475,0.00016488557470929389
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.00013440860215053763,0.00012273776734644763,2.6881720430107527e-05,2.533911487857055e-05,0.00037992831541218636,0.0005084733702649203,0.00015591397849462363,0.00038711532960989477,0.00033512544802867387,0.0006833738277022459,0.00020645161290322578,0.00013163640555105576,0.0003454078819604158,0.00024272488160470093
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.00034050179211469534,0.0005506134355044608,0.0002724014336917563,0.0003175288270289168,0.00018817204301075272,0.00010916577386496006,0.0001863799283154122,0.0002861753463329834,0.00023655913978494627,0.00026150544547685005,0.0002448028673835126,5.763369531825599e-05,0.0003049977656416342,0.00014218306450968272
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.0002992831541218638,0.0001615181573440112,0.00013799283154121867,0.00041735317947564726,0.00021863799283154125,0.0002690316106981021,0.00023655913978494624,0.0004154793980234686,0.00030824372759856634,0.0005078146673172826,0.00024014336917562725,6.171747440043928e-05,0.0003542394025717023,0.00012306168695233702
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00015053763440860216,0.0004718933442192195,0.0001612903225806452,0.0001384026106592219,0.0002849462365591398,0.0007241507310580037,0.00039247311827956996,0.00046446993877510714,0.00015053763440860216,7.705372974915175e-05,0.00022795698924731183,9.669052536071547e-05,0.0003751940708921408,0.00023834829111132785
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00021505376344086021,0.00028556665983393154,0.0003225806451612904,0.00031431573037464386,0.00032078853046594983,0.000511817616411276,0.0005268817204301075,0.00040906627679332863,2.6881720430107527e-05,7.1377754253921e-06,0.00028243727598566305,0.0001629015500030124,0.0003055808117677145,0.00016898992400914156
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.00019175627240143367,0.00019525268927595693,0.0003691756272401434,0.0003597825256193863,0.0003584229390681004,0.00047467676349208584,0.0003082437275985663,0.00025896644140747943,0.00031720430107526885,0.0005938062264038563,0.0003089605734767025,6.305188246659382e-05,0.00037649692923975294,0.00014408669047924095
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.0002956989247311828,0.0001311429991003844,0.00033154121863799283,0.00048398015423363835,0.00027777777777777783,0.0005635466056737972,0.0001559139784946237,0.0001116008918319311,0.00026164874551971325,0.00044244920942439274,0.0002645161290322581,5.906479442326741e-05,0.00034654397205282874,0.00018802791910708995
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-roberta-large-v1;embedding_model_kwargs=None;embed_with=name;iterations=30;mi=0.5.,0.00010752688172043011,5.583855414083131e-05,5.3763440860215054e-05,9.572513207070939e-05,8.96057347670251e-05,0.0001762775425972784,3.5842293906810036e-05,8.0554708927912e-05,7.526881720430108e-05,7.991605035997654e-05,7.240143369175627e-05,2.53848476123667e-05,9.766239761934155e-05,4.133021595500248e-05
"EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embedding_model_kwargs={'config': {'save_weights': True}, 'parameters': {'walk_len': 10, 'p': 1.0, 'q': 1.0, 'n_walks': 50, 'embedding_size': 64, 'epochs': 1}};embed_with=graph;iterations=30;mi=0.5.",0.1193405017921147,0.1617741999275507,0.11935483870967742,0.1664361917887888,0.11681541218637993,0.16556418190428118,0.11793906810035842,0.1639243632259687,0.11354480286738351,0.15449639330003317,0.11739892473118281,0.002148572459333405,0.1624390660293245,0.0042773255276902745
