model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.1873312124425592,0.23822046250772197,0.18836337928596678,0.24289386500020743,0.19313449982325911,0.24759094137552598,0.17540562036055143,0.22921359346407275,0.18151997172145637,0.23385402441131597,0.18515093672675859,0.006114994146458709,0.2383545773517688,0.00647682179361073
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.18682661717921528,0.2376286584668529,0.18921615411806292,0.24140600525529596,0.18131053375751152,0.23352305514642158,0.18116207140332274,0.2353766772647805,0.18238511841640156,0.23841870689784195,0.1841800989749028,0.0032536367398891815,0.23727062060623857,0.0026899430363681335
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.007020148462354189,0.010608178879244536,0.005033580770590314,0.007813652688074416,0.005132555673382821,0.007536786057803372,0.004754330151997172,0.006949759966965179,0.005099858607281725,0.007885968547107406,0.005408094733121245,0.0008169843749192377,0.008158869227838983,0.001268203428832419
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.0009437963944856839,0.001276993730850521,0.0006044538706256628,0.0009592521292547853,0.0008580770590314599,0.0014566472403929973,0.0017674089784376105,0.002195483236034923,0.0009155178508306822,0.0015763240086296374,0.0010178508306822199,0.0003935017712396441,0.001492940069032573,0.0004082383103858767
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.0031707317073170734,0.005908198591757378,0.002813715093672676,0.00500993548032276,0.0040120183810533755,0.005853284969526065,0.003237893248497703,0.005113992912211523,0.00391304347826087,0.006102709643442525,0.0034294803817603394,0.0004595665751747271,0.005597624319452051,0.00044636474789826327
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.006537645811240721,0.010376679292266967,0.006260162601626017,0.00965963585546088,0.005063626723223754,0.008314381099519054,0.005242135030045953,0.009702845783731297,0.005814775539059738,0.008758734534966749,0.005783669141039237,0.0005671357371936184,0.00936245531318899,0.0007342711436921538
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.00408978437610463,0.005474356618216943,0.00351360904913397,0.005832120404947578,0.0054153411099328395,0.007875070144452928,0.003835277483209615,0.005387521792438929,0.004749911629551079,0.0071022029193731715,0.004320784729586427,0.0006815885261266227,0.00633425437588591,0.000985060755596688
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.007536231884057971,0.012380541401961436,0.00816542948038176,0.011318404268677357,0.007631671968893601,0.011689277526167328,0.008334217037822552,0.01351725474398814,0.00824584658890067,0.012770096451029405,0.007982679392011312,0.00033128684645847387,0.012335114878364733,0.0007796837241913248
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.00247790738776953,0.004196121795414092,0.005063626723223754,0.006970298934916654,0.003314775539059738,0.004967619954133608,0.0032820784729586426,0.005416876974630246,0.003643513609049134,0.006511999093891484,0.00355638034641216,0.000845707061470902,0.005612583350597217,0.0010112351252674374
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.00857193354542241,0.012765822630098844,0.007437256981265465,0.01201876741003389,0.006691410392364793,0.010024842786246664,0.006019794980558503,0.00897207687227263,0.005980911983032874,0.010014438425586617,0.00694026157652881,0.0009735394347534451,0.010759189624847728,0.001407181852731081
