model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.12570696359137504,0.1708889137390543,0.11719777306468718,0.15871713410686927,0.12388918345705198,0.16846885624467983,0.11520060091905268,0.1611917714048515,0.1172366560622128,0.16150951680095954,0.11984623541887593,0.004149692536020992,0.1641552384592829,0.004675567135560322
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.11729232944503357,0.15991410997207517,0.1168001060445387,0.15989273503235632,0.12268292682926829,0.16778875748286828,0.11296217744786144,0.15995503951017515,0.11809119830328736,0.16328399067792773,0.11756574761399788,0.0031085509270596,0.16216692653508052,0.003098141028852566
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.004860374690703429,0.007216064437864035,0.005242135030045953,0.008068600574815172,0.0031671968893601976,0.004639684545031243,0.004566101095793567,0.007276447421732486,0.004595263343937787,0.007019246426363666,0.004486214209968187,0.0007027791504848938,0.0068440086811613204,0.0011588621333803555
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.0015623895369388477,0.0020386022913696576,0.0008094733121244257,0.0011106637260528305,0.0006610109579356663,0.001111484886226589,0.0012371862849063274,0.0020576499756591884,0.0014457405443619653,0.0017044237039503904,0.0011431601272534465,0.00035212606752425314,0.0016045649166517312,0.0004220693291931197
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.00406857546836338,0.0061398297367890415,0.003466772711205373,0.005557107251825911,0.005083068221986568,0.007369493355385158,0.0036055143160127257,0.005881600515973054,0.0043761046306115235,0.0066348704270871505,0.004120007069635914,0.0005808848206105945,0.006316580257412062,0.0006335900870771285
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.005157299399080948,0.00888184479646396,0.006051608342170379,0.01023001634470003,0.006795687522092612,0.011314889032383658,0.004155178508306823,0.006951040448538087,0.006711735595616827,0.011086454764662731,0.005774301873453518,0.0010001161961725154,0.009692849077349694,0.0016147409452411383
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.004365500176740898,0.007357636013457427,0.004227642276422764,0.006616229218492683,0.004273594909862143,0.006689990043457098,0.0033368681512902084,0.004936633641700479,0.004088900671615412,0.006916116066841444,0.004058501237186285,0.00037169900843030167,0.006503320996789827,0.0008249068778560773
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.00830682219865677,0.012941303286904909,0.006419229409685402,0.010854697697202584,0.00814422057264051,0.012367361818292602,0.008388123011664899,0.013863242211527441,0.009054436196535879,0.014042834505850607,0.008062566277836693,0.0008782570880445069,0.012813887903955629,0.0011545995586657242
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.006687875574407918,0.010943886374960366,0.006046306115235066,0.009285041387770757,0.006675503711558855,0.011288496932606286,0.007198656769176388,0.011234320386485818,0.006291975963237893,0.01008215788334558,0.006580063626723223,0.00039275470326134823,0.01056678059303376,0.0007728398517758005
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.006535878402262284,0.010717211214933573,0.006983916578296218,0.010833390985258763,0.007173913043478261,0.011626687911744116,0.006440438317426653,0.010130917163716354,0.0060268646164722516,0.009529622328861592,0.0066322021915871335,0.00040734233576775636,0.01056756592090288,0.0007046680222290429
