model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std,fold-6_MAP@5,fold-6_nDCG@5,fold-7_MAP@5,fold-7_nDCG@5,fold-8_MAP@5,fold-8_nDCG@5,fold-9_MAP@5,fold-9_nDCG@5,fold-10_MAP@5,fold-10_nDCG@5
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.18274213503004594,0.23721833130748662,0.186579179922234,0.23967044750652475,0.18551519971721456,0.23442581764192805,0.18644485683987275,0.23870260862930348,0.17647843761046306,0.23151644965109006,0.18355196182396605,0.0037967817490129636,0.23630673094726656,0.0029789415547728224,,,,,,,,,,
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.18706168257334746,0.2393256535297549,0.1910860728172499,0.23689910698938144,0.17639802050194414,0.22900613478904946,0.18723488865323437,0.23749335590147602,0.17984623541887593,0.2374550383947744,0.18432537999293036,0.005377087028036604,0.23603585792088727,0.003608970351597782,,,,,,,,,,
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.004842700600919053,0.008394885954024744,0.004598798161894663,0.006672247563157829,0.006359137504418522,0.009016247666550422,0.0073020501944149885,0.011449125510638428,0.008829975256274302,0.013573695036806182,0.006386532343584305,0.0015740868231466708,0.009821240346235521,0.002421965397261893,,,,,,,,,,
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.003377518557794274,0.006226768923214634,0.003453517143867091,0.005487351023878093,0.004471544715447155,0.006284873328530139,0.004092435489572287,0.006379705082241951,0.0027536231884057972,0.004708008209647748,0.003629727819017321,0.0005974902698400519,0.005817341313502512,0.0006390592597898342,,,,,,,,,,
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.008176033934252386,0.01251834611846683,0.007999293036408625,0.011574242249949972,0.006751502297631672,0.010513440249966888,0.009363732767762463,0.014018589675245902,0.006889360197949806,0.010690663459316387,0.007835984446800991,0.0009537837576658729,0.011863056350589195,0.001292680230287811,,,,,,,,,,
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.004845351714386709,0.00783538811228134,0.008230823612583952,0.012255316636706676,0.00570342877341817,0.009829974438355118,0.006984800282785437,0.009684159281228417,0.006393601979498056,0.010362900597317265,0.006431601272534465,0.001148137358449789,0.009993547813177763,0.0014164851215219274,,,,,,,,,,
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.0062778366914103935,0.009380622608378731,0.006005655708731001,0.009087995416043132,0.006387416048073524,0.009549358676639492,0.005429480381760339,0.008348933310818367,0.006111700247437258,0.009950550101111021,0.006042417815482504,0.0003335534839159579,0.009263492022598149,0.0005356687068464082,,,,,,,,,,
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.005397667020148463,0.00799396945271161,0.004906327324142807,0.007682729077230022,0.003923647932131496,0.006359215355581958,0.0039802050194414984,0.00693967477159963,0.005199717214563449,0.007048981093539663,0.004681512902085542,0.0006161405705837331,0.007204913950132577,0.0005763313061516524,,,,,,,,,,
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.0014033227288794627,0.0022891299077222966,0.0012230470130788263,0.0017354470714925397,0.0013361611876988337,0.0019213626063744028,0.001266348533050548,0.0019898535967887653,0.0012822552138564865,0.0018726396066396206,0.0013022269353128314,6.217311710646487e-05,0.0019616865578035254,0.00018371293652213316,,,,,,,,,,
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.002700600919052669,0.004628496749124648,0.0036691410392364794,0.006329468395632575,0.003799929303640862,0.006645089054273788,0.003743372216330859,0.005438392400438414,0.002632555673382821,0.004042518665587499,0.003309119830328738,0.0005267102939091665,0.005416793053011385,0.0009851086269245617,,,,,,,,,,
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.004591728525980912,0.006884414924307732,0.003806998939554613,0.0059274004498580295,0.004118062919759633,0.006682615328127029,0.0036479321314952283,0.005892609842775311,0.004252386002120891,0.006363290309326041,0.004083421703782255,0.00033292205862788486,0.006350066170878829,0.0003960315679243682,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/distiluse-base-multilingual-cased-v2;embed_with=abstract;iterations=30;mi=0.5.,0.0051749734888653235,0.008941160570031845,0.005733474726051608,0.009451508499023993,0.006012725344644751,0.010363315942532472,0.004139271827500884,0.007825194144836276,0.005164369034994699,0.009530181672350962,0.0052449628844114535,0.0006421914998115247,0.009222272165755111,0.0008342888213382194,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=deepwalk_based;embed_with=graph;iterations=30;mi=0.5.,0.183222870272181,0.23893287180887,0.17460940261576532,0.2331644489612747,0.18611788617886177,0.2403233695233574,0.18487539766702016,0.2380678124721933,0.1726254860374691,0.22651001956487357,0.1799697773064687,0.005299799208554724,0.23423994999114534,0.005297359455904766,0.18777041357370094,0.24060501283715943,0.17684340756451045,0.22567261187961707,0.18282608695652175,0.23713339475337494,0.17702721809826794,0.2321531247571814,0.17377960410038884,0.22983683335355154
EPHEN based model + cosine similarity;embedding_model=complEx;embed_with=graph;iterations=30;mi=0.5.,0.005853658536585365,0.009378881858243402,0.004598798161894663,0.006672247563157829,0.006359137504418522,0.009016247666550422,0.0073020501944149885,0.011449125510638428,0.008829975256274302,0.013573695036806182,0.0065887239307175684,0.0014202026256141952,0.010018039527079253,0.0023365413122598826,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=distMult;embed_with=graph;iterations=30;mi=0.5.,0.003377518557794274,0.006226768923214634,0.003453517143867091,0.005487351023878093,0.004471544715447155,0.006284873328530139,0.004092435489572287,0.006379705082241951,0.0027536231884057972,0.004708008209647748,0.003629727819017321,0.0005974902698400519,0.005817341313502512,0.0006390592597898342,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=rESCAL;embed_with=graph;iterations=30;mi=0.5.,0.008176033934252386,0.01251834611846683,0.007999293036408625,0.011574242249949972,0.006751502297631672,0.010513440249966888,0.009363732767762463,0.014018589675245902,0.006889360197949806,0.010690663459316387,0.007835984446800991,0.0009537837576658729,0.011863056350589195,0.001292680230287811,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=rotatE;embed_with=graph;iterations=30;mi=0.5.,0.004845351714386709,0.00783538811228134,0.008230823612583952,0.012255316636706676,0.00570342877341817,0.009829974438355118,0.006984800282785437,0.009684159281228417,0.006393601979498056,0.010362900597317265,0.006431601272534465,0.001148137358449789,0.009993547813177763,0.0014164851215219274,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=transD;embed_with=graph;iterations=30;mi=0.5.,0.0062778366914103935,0.009380622608378731,0.006005655708731001,0.009087995416043132,0.006387416048073524,0.009549358676639492,0.005429480381760339,0.008348933310818367,0.006111700247437258,0.009950550101111021,0.006042417815482504,0.0003335534839159579,0.009263492022598149,0.0005356687068464082,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=transE;embed_with=graph;iterations=30;mi=0.5.,0.005397667020148463,0.00799396945271161,0.004906327324142807,0.007682729077230022,0.003923647932131496,0.006359215355581958,0.0039802050194414984,0.00693967477159963,0.005199717214563449,0.007048981093539663,0.004681512902085542,0.0006161405705837331,0.007204913950132577,0.0005763313061516524,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=transH;embed_with=graph;iterations=30;mi=0.5.,0.0014033227288794627,0.0022891299077222966,0.0012230470130788263,0.0017354470714925397,0.0013361611876988337,0.0019213626063744028,0.001266348533050548,0.0019898535967887653,0.0012822552138564865,0.0018726396066396206,0.0013022269353128314,6.217311710646487e-05,0.0019616865578035254,0.00018371293652213316,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=transR;embed_with=graph;iterations=30;mi=0.5.,0.002700600919052669,0.004628496749124648,0.0036691410392364794,0.006329468395632575,0.003799929303640862,0.006645089054273788,0.003743372216330859,0.005438392400438414,0.002632555673382821,0.004042518665587499,0.003309119830328738,0.0005267102939091665,0.005416793053011385,0.0009851086269245617,,,,,,,,,,
EPHEN based model + cosine similarity;embedding_model=tuckER;embed_with=graph;iterations=30;mi=0.5.,0.004591728525980912,0.006884414924307732,0.003806998939554613,0.0059274004498580295,0.004118062919759633,0.006682615328127029,0.0036479321314952283,0.005892609842775311,0.004252386002120891,0.006363290309326041,0.004083421703782255,0.00033292205862788486,0.006350066170878829,0.0003960315679243682,,,,,,,,,,
