model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.18700866030399438,0.2403971567199806,0.19847649346058677,0.24761985182883403,0.16623453517143866,0.21897609072110297,0.17837133262636973,0.2296051713733372,0.17927359490986214,0.23262239563169526,0.18187292329445034,0.010636081658549673,0.23384413325499,0.009728645005366597
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.18844114528101805,0.23962306915778614,0.1900689289501591,0.2418735625612131,0.16958819370802405,0.22506935739575407,0.16799664192294098,0.22065417872239565,0.17158890067161542,0.22345638920130464,0.17753676210675148,0.00964916023874211,0.23013531140769072,0.008808721316443715
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.004202898550724637,0.006290669795968227,0.003322728879462708,0.005771577534600346,0.004645634499823259,0.007572089052454484,0.004623541887592789,0.008097193362835183,0.003732767762460234,0.006167906422539705,0.004105514316012726,0.0005140542967249956,0.00677988723367959,0.000893691425873911
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.001021562389536939,0.0014137863296657363,0.0014457405443619653,0.0020711479579568664,0.0006459879816189466,0.0011159644468099767,0.0010392364793213149,0.0019376455869935339,0.0006291975963237894,0.001037696104444097,0.000956344998232591,0.0003013234828797437,0.0015152480851740422,0.00042076647302238194
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.003746907034287734,0.006330270104113207,0.0027147401908801704,0.004253804646481536,0.0036302580417108517,0.005852383796494036,0.003570166136443974,0.006079265423270701,0.003361611876988335,0.005419062221186624,0.0034047366560622126,0.0003669501995184475,0.0055869572383092205,0.0007308648566063509
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.007702368328031107,0.011696893184616475,0.006302580417108519,0.009789798936184473,0.005386178861788618,0.008662376841181976,0.006299045599151644,0.010319339650476895,0.005577942735949098,0.009794520418218631,0.006253623188405798,0.0008139196789414289,0.010052585806135689,0.000984199168674144
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.00470484270060092,0.00754491550756894,0.0042417815482502655,0.006371340411566777,0.0035277483209614708,0.005952061070361323,0.0044079179922234,0.006868594625551932,0.0033580770590314595,0.005868923429514384,0.0040480735242135035,0.0005186887370840324,0.0065211670089126705,0.0006229796469769379
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.008794627076705551,0.013568630260423884,0.007150936726758573,0.010521244051619525,0.006638388123011665,0.011074662012877518,0.009681866383881231,0.015456818470287556,0.0073559561682573354,0.011262355205819172,0.00792435489572287,0.0011332416880777698,0.012376742000205531,0.0018594413970065837
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.005238600212089077,0.007647551447881591,0.0028561329091551786,0.0053038086430994705,0.0025866030399434433,0.00411421435904648,0.00469600565570873,0.007759636907506271,0.003263520678685048,0.0054006097824135495,0.0037281724991162953,0.0010485826706484983,0.006045164227989473,0.0014283338058180479
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.008025804171085189,0.013146155379771339,0.006369741958289148,0.010008675439259575,0.006156769176387416,0.010373097464265188,0.0066171792152704125,0.01052553828756076,0.005337575114881583,0.008799255581641437,0.006501413927182749,0.0008749634861287232,0.01057054443049966,0.0014232317849733566
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.006995404736656063,0.010996079803208814,0.005531990102509721,0.008993764230101347,0.007154471544715447,0.011945721975385131,0.006624248851184164,0.00988108295317813,0.0059950512548603745,0.009946153091273145,0.006460233297985155,0.0006120957567040644,0.010352560410629314,0.0010184366394007422
EPHEN based model + cosine similarity;embedding_model=sentence-transformers/all-roberta-large-v1;embedding_model_kwargs=None;embed_with=abstract;iterations=30;mi=0.5.,0.014072110286320254,0.025772650926354376,0.013017850830682218,0.02440954594747515,0.014789678331565925,0.025068444425716152,0.014085365853658535,0.02572768366515276,0.014287734181689642,0.024847585542472163,0.014050547896783316,0.0005780504459762858,0.02516518210143412,0.0005228074467284499
