model,fold-1_execution_time,fold-2_execution_time,fold-3_execution_time,fold-4_execution_time,fold-5_execution_time,execution_time_mean,execution_time_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),26.513031244277954,23.57888650894165,25.895108222961426,24.066551208496094,23.714357137680054,24.753586864471437,1.210838790296358
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),26.229395151138306,24.302083730697632,26.576324701309204,26.992088794708252,24.562687397003174,25.732515954971312,1.0917931194014023
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),44.37612867355347,44.48748183250427,45.95125365257263,48.3470892906189,47.288694620132446,46.09012961387634,1.5528033181221694
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),49.71988892555237,55.202152252197266,54.68101739883423,54.15439558029175,57.08934569358826,54.16935997009277,2.435273551654679
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),55.59454965591431,58.458436489105225,58.073179483413696,63.94005012512207,61.39970850944519,59.493184852600095,2.8877644996496055
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),96.51666712760925,102.73927974700928,104.54353952407837,104.02211308479309,101.83167839050293,101.93065557479858,2.8697141840159075
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),72.04835748672485,79.1186466217041,79.74528503417969,79.66624045372009,82.86776852607727,78.6892596244812,3.5725501324400666
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),37.34241509437561,40.471312522888184,39.85817003250122,43.645528078079224,42.9509539604187,40.85367593765259,2.265356483048715
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),64.59410691261292,70.2147924900055,71.78032946586609,74.95989394187927,71.1928551197052,70.5483955860138,3.3751785597373605
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),123.09834289550781,125.28366732597351,125.50265836715698,127.47863268852234,128.5992670059204,125.99251365661621,1.9038045341176093
