model,fold-1_MAP@5,fold-1_nDCG@5,fold-2_MAP@5,fold-2_nDCG@5,fold-3_MAP@5,fold-3_nDCG@5,fold-4_MAP@5,fold-4_nDCG@5,fold-5_MAP@5,fold-5_nDCG@5,MAP@5_mean,MAP@5_std,nDCG@5_mean,nDCG@5_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64,0.1147117825607064,0.15005999901711498,0.1106730132450331,0.1445156014007379,0.10998509933774833,0.14345784699772451,0.11156456953642384,0.14570855476381536,0.10807960816777042,0.14218577391918913,0.11100281456953642,0.0021799844529871997,0.14518555521971638,0.0027006011378217436
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64,0.11351807395143489,0.14743925377375408,0.11250027593818987,0.14713058806806475,0.11359782008830022,0.14706754220223456,0.10641777041942604,0.14192962717877805,0.10569081125827816,0.13833690218447284,0.11034495033112583,0.003532111442399141,0.14438078268146087,0.00365160256789431
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.0038333333333333336,0.0060210465279741995,0.0035480132450331123,0.005709809541778598,0.003977097130242826,0.006090115980864467,0.003734961368653422,0.005720299143235596,0.003975027593818985,0.006074281695696415,0.003813686534216336,0.0001611830669774731,0.005923110577909855,0.00017144373527963928
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings,0.0012798013245033113,0.0020316694299319805,0.0015110375275938191,0.002235209482422404,0.0013769315673289185,0.002153331422967856,0.0015739514348785874,0.002374409843023173,0.0014547461368653422,0.002222556101129432,0.0014392935982339959,0.00010280614144916783,0.0022034352558949694,0.00011191193920247524
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all,0.0008835540838852098,0.0013551855819690076,0.0011158940397350994,0.0015511498959253128,0.0011677704194260486,0.0018945370697159621,0.0010498068432671084,0.0016015908051017842,0.001064569536423841,0.0017056440574016857,0.0010563189845474615,9.584237061786803e-05,0.0016216214820227504,0.00017770665293212224
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings,0.0023883830022075054,0.003515972004136789,0.0016495584988962474,0.0026641177436920256,0.002078366445916115,0.0032877857876028975,0.002240066225165563,0.00364084087412015,0.0024036975717439298,0.0037820650832061714,0.0021520143487858724,0.000277435979158549,0.0033781562985516064,0.0003922133471323445
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings,0.00020088300220750553,0.00023764637152307063,0.0001556291390728477,0.00021119694690453777,0.00024834437086092715,0.00036106216027969847,0.00027317880794701984,0.00036080521371033584,0.00012086092715231788,0.00018103750017768927,0.0001997792494481236,5.643512791863025e-05,0.00027034963851906637,7.610016470405402e-05
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings,0.0067213024282560705,0.010567621429571773,0.00769398454746137,0.012051976846682822,0.007466611479028697,0.011437083602934705,0.0077244757174392935,0.01188150629895778,0.007857064017660044,0.012016419363923921,0.007492687637969095,0.00040564304837169296,0.0115909215084142,0.000556573287717953
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all,0.0007577262693156732,0.001221881917530057,0.0013189845474613686,0.0020572361356137533,0.0010883002207505521,0.0016316181444438868,0.002106236203090508,0.002777938364016505,0.0009392935982339957,0.0015684231995824391,0.0012421081677704195,0.0004695969784445303,0.0018514195522373283,0.0005339503352504271
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42,0.0013360927152317882,0.0022600571036163553,0.002109823399558499,0.0034714686359517445,0.002024282560706402,0.003025597614147603,0.0008358167770419427,0.0015278798656064988,0.0007349613686534217,0.0012393280777022587,0.0014081953642384106,0.0005758307712314517,0.002304866259404892,0.0008510584144382212
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all,0.0037317880794701984,0.005815811760619481,0.0031032008830022073,0.004849321664852036,0.003741721854304636,0.005921039821705623,0.003735927152317881,0.0057603560458702975,0.0037097130242825607,0.005982918725762933,0.003604470198675497,0.0002508687982118368,0.005665889603762074,0.0004156423603461099
