model,fold-1_execution_time,fold-2_execution_time,fold-3_execution_time,fold-4_execution_time,fold-5_execution_time,execution_time_mean,execution_time_std
Node2Vec based model + cosine similarity;q=1.0;p=1.0;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),76.80278730392456,85.28928828239441,81.68613719940186,81.5631456375122,82.81266236305237,81.63080415725707,2.7603869681404243
Node2Vec based model + cosine similarity;q=0.6;p=0.8;embedding_size=64 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),72.38586854934692,79.99400782585144,69.56974053382874,72.40828251838684,73.06871843338013,73.48532357215882,3.4709405026499054
ComplEx based model + cosine similarity;embedding_dim=100;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42 (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),464.99922132492065,458.6144826412201,511.65601229667664,522.5492448806763,501.43830847740173,491.85145392417905,25.503808883349276
DistMult based model + cosine similarity;embedding_dim=50;entity_initializer=None;entity_constrainer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),435.35754323005676,455.46865344047546,475.12525248527527,484.71694588661194,467.69383931159973,463.6724468708038,17.083590297501267
RESCAL based model + cosine similarity;embedding_dim=50;entity_initializer=None;relation_initializer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),578.6212232112885,593.1703214645386,633.4499559402466,638.3001806735992,638.8958160877228,616.4874994754791,25.46839732796082
RotatE based model + cosine similarity;embedding_dim=200;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),1262.4405279159546,1281.3011374473572,1310.8717999458313,1303.9980032444,1313.3952994346619,1294.401353597641,19.581886054464928
TransD based model + cosine similarity;embedding_dim=150;relation_dim=None;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),847.0177645683289,867.1973621845245,908.300234079361,908.1431770324707,917.5184576511383,889.6353991031647,27.524923747999598
TransE based model + cosine similarity;embedding_dim=150;scoring_fct_norm=1;entity_initializer=None;relation_initializer=None;relation_constrainer=None;regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),410.4110941886902,396.4062776565552,444.3466923236847,438.71874260902405,440.1902804374695,426.0146174430847,19.071092836306818
TransH based model + cosine similarity;embedding_dim=150;scoring_fct_norm=2;entity_initializer=None;regularizer=None;relation_initializer=None;relation_regularizer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),692.1825661659241,717.4126045703888,755.6867263317108,748.04576420784,748.2135112285614,732.308234500885,23.996460571087663
TransR based model + cosine similarity;embedding_dim=150;relation_dim=90;scoring_fct_norm=2;entity_initializer=None;entity_constrainer=None;relation_initializer=None;relation_constrainer=None;epochs=25;seed=42;triples=all (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),1218.58038687706,1246.6199576854706,1269.304881811142,1266.6887464523315,1276.620197057724,1255.5628339767457,20.993898050926543
TuckER based model + cosine similarity;embedding_dim=200;relation_dim=None;dropout_0=0.3;dropout_1=0.4;dropout_2=0.5;apply_batch_normalization=True;relation_initializer=None;core_tensor_initializer=None;epochs=25;seed=42;triples=ratings (CPU: AMD EPYC 7502P 32-Core Processor; RAM: 94GB; GPUs: ['NVIDIA A2']),3833.0017895698547,3856.8619334697723,3965.452001094818,4006.818076610565,3969.4819910526276,3926.3231583595275,68.42064406805683
